iter	RMSE
0	410180.2971
1	398300.3681
2	386772.0439
3	376227.1424
4	365776.1343
5	356126.5403
6	347401.2965
7	338751.548
8	331247.869
9	323887.3708
10	316978.6001
11	310847.8949
12	304625.1699
13	298476.0656
14	292946.9263
15	287832.0258
16	282624.392
17	277864.7983
18	273521.8598
19	269473.0737
20	265654.2508
21	262239.9219
22	258742.0301
23	255524.9836
24	251917.882
25	248689.1517
26	245338.7066
27	242777.386
28	239989.3528
29	237401.4427
30	234994.2297
31	232546.1977
32	230378.9513
33	228362.7285
34	226472.4108
35	224797.2819
36	223131.734
37	221576.9967
38	220068.6786
39	218615.4454
40	217071.2569
41	215629.856
42	214278.2518
43	213047.9931
44	211794.8341
45	210752.6982
46	209724.3154
47	208412.6792
48	207293.1888
49	206282.4393
50	205348.085
51	204438.5037
52	203441.0004
53	202301.6177
54	201389.0106
55	200642.3801
56	199944.5241
57	199315.0456
58	198530.403
59	197665.2944
60	196993.4944
61	196234.3725
62	195587.7554
63	195026.9601
64	194455.3937
65	193814.7934
66	193113.2253
67	192623.9914
68	192193.498
69	191517.0945
70	190762.3566
71	190273.9496
72	189643.6488
73	189291.6476
74	188933.3766
75	188231.6791
76	187830.5984
77	187270.0749
78	186964.6584
79	186558.6043
80	186122.3093
81	185589.7148
82	185202.0101
83	184702.1121
84	184344.4762
85	184028.0348
86	183730.8452
87	183255.1898
88	182857.6738
89	182379.2089
90	182139.8539
91	182089.6109
92	181714.9642
93	181344.4149
94	180998.2065
95	180861.5154
96	180556.0185
97	180149.2927
98	179696.7656
99	179422.6773
100	179161.376
101	178811.4607
102	178544.5257
103	178197.0127
104	177960.8464
105	177829.8947
106	177370.3208
107	177029.9433
108	176531.5875
109	176147.2657
110	175768.661
111	175485.9982
112	175248.2598
113	175003.6542
114	174825.1907
115	174526.1181
116	174197.0428
117	173775.555
118	173399.0747
119	173160.3698
120	172915.8446
121	172611.5258
122	172348.347
123	172001.0544
124	171760.5337
125	171482.5076
126	171291.2917
127	170862.7424
128	170529.5004
129	170288.8622
130	169887.1067
131	169668.4115
132	169378.4452
133	169008.5001
134	168700.9331
135	168278.2546
136	168127.0488
137	167997.5801
138	167832.0195
139	167717.4334
140	167460.3673
141	167183.4739
142	167014.2767
143	166835.4939
144	166639.7503
145	166312.9812
146	165931.3461
147	165722.8731
148	165574.9174
149	165452.2056
150	165366.9294
151	165187.5647
152	164965.8383
153	164659.5627
154	164383.4149
155	164228.1132
156	164123.9221
157	163923.8935
158	163746.4908
159	163590.412
160	163388.5601
161	163115.921
162	162862.5035
163	162631.8259
164	162440.622
165	162185.7937
166	161951.8211
167	161603.2253
168	161388.6796
169	161063.0104
170	160805.2712
171	160615.9397
172	160381.8317
173	160198.4188
174	159971.6572
175	159752.2994
176	159450.5846
177	159400.0372
178	159241.5875
179	158982.8176
180	158847.4776
181	158688.8622
182	158385.7255
183	158261.349
184	158011.7648
185	157777.9648
186	157579.2082
187	157291.1352
188	157075.4794
189	156902.7902
190	156670.2046
191	156480.5477
192	156160.1954
193	155973.464
194	155868.7697
195	155717.5166
196	155609.7491
197	155493.4253
198	155309.6361
199	155214.5928
200	154987.8495
201	154804.6808
202	154704.4183
203	154446.4547
204	154320.025
205	154083.7212
206	153791.3202
207	153710.1566
208	153529.4508
209	153432.5951
210	153381.1447
211	153268.9303
212	152925.9321
213	152708.583
214	152631.2825
215	152493.4673
216	152317.0076
217	152199.7557
218	151951.2353
219	151890.2966
220	151719.5203
221	151556.4214
222	151512.1514
223	151428.2692
224	151268.3141
225	151133.7163
226	151079.1463
227	150940.0423
228	150897.5143
229	150603.7202
230	150502.735
231	150400.3883
232	150294.0317
233	150148.8022
234	149913.2544
235	149503.6918
236	149385.7775
237	149181.6198
238	148941.1958
239	148819.2382
240	148588.9146
241	148353.7001
242	148111.2341
243	148003.0035
244	147857.8705
