,titre,budget,duree,entrees_fr,franchise,genres,pegi_fr,pegi_usa,entrees_usa,salles_fr,studio,estimation,is_compositeur,annee,origine
0,l'age de glace 3 - le temps des dinosaures,90000000,87,2403734,1,animation, Tous publics ,PG,41690382.0,783,20th century fox,,0,2009,etats-unis
1,l'ile de nim,37000000,95,243392,0,film familial, Tous publics ,PG,13210579.0,399,snd,,0,2008,etats-unis
2,twilight - chapitre 1 : fascination,37000000,120,755835,1,fantasy, Tous publics ,PG,69637740.0,455,snd,,0,2009,etats-unis
3,#jesuislà,11378260,98,112363,0,comédie, Tous publics ,,,387,gaumont,,0,2020,france
4,#pire soirée,20000000,101,66666,0,comédie, Tous publics ,R,8004283.0,145,sony pictures,,0,2017,etats-unis
5,(s)ex list,20000000,108,95712,0,comédie, Tous publics ,R,5421669.0,208,20th century fox,,0,2011,etats-unis
6,1 duplex pour 3,40000000,97,101217,0,comédie,,PG,4617128.0,120,tfm distribution,,0,2004,etats-unis
7,10 cloverfield lane,15000000,105,262590,0,thriller, Tous publics ,PG,24702752.0,277,paramount,,0,2016,etats-unis
8,10 bonnes raisons de te larguer,16000000,97,46583,0,romance, Tous publics ,PG,8330681.0,136,gbvi,,0,2000,etats-unis
9,10 jours encore sans maman,10070000,96,256753,0,comédie, Tous publics ,,,571,studiocanal,,0,2023,france
10,100 % cachemire,15542650,98,197125,0,comédie, Tous publics ,,,399,wild bunch,,0,2013,france
11,1001 pattes,120000000,96,654270,0,animation, Tous publics ,G,33258052.0,605,gbvi,,0,1999,etats-unis
12,102 dalmatiens,85000000,100,591879,1,film familial, Tous publics ,G,19883351.0,573,gbvi,,0,2001,etats-unis
13,12 heures,35000000,96,82858,0,thriller, Tous publics ,R,183125.0,160,metropolitan,,0,2013,etats-unis
14,127 heures,18000000,94,205262,0,aventure - action, Tous publics ,R,2136801.0,182,pathé,,0,2011,etats-unis
15,15 minutes,42000000,120,164206,0,thriller, Moins de 16 ans ,R,10523154.0,236,metropolitan,,0,2001,etats-unis
16,16 blocs,45000000,105,127935,0,aventure - action,,PG,11855260.0,248,metropolitan,,0,2006,etats-unis
17,17 ans encore,20000000,102,452343,0,comédie, Tous publics ,PG,23722310.0,392,metropolitan,,0,2009,etats-unis
18,18 ans après,10980000,90,567231,0,comédie, Tous publics ,,25611.0,633,bac films,,0,2003,france
19,1917,90000000,119,644738,0,guerre, Tous publics ,R,37000200.0,528,universal,,1,2020,Autre
20,2 days in new york,8129124,91,144635,0,comédie, Tous publics ,R,23942.0,186,rezo films,,0,2012,france
21,2 fast 2 furious,76000000,105,804821,1,aventure - action, Tous publics ,PG,50472480.0,448,uip,,0,2003,etats-unis
22,2 guns,61000000,109,158696,0,aventure - action, Tous publics ,R,27059130.0,342,sony pictures,,0,2013,etats-unis
23,20 ans d'écart,7349979,92,433517,0,comédie, Tous publics ,,,371,europacorp,,0,2013,france
24,2012,200000000,158,2212370,0,catastrophe, Tous publics ,PG,65237614.0,716,sony pictures,,0,2009,etats-unis
25,20th century women,7000000,118,35698,0,comédie dramatique, Tous publics ,R,1385336.0,52,mars distribution,,0,2017,etats-unis
26,21 jump street,42000000,109,144955,0,comédie, Tous publics ,R,36302612.0,191,sony pictures,,0,2012,etats-unis
27,21 grammes,20000000,124,204787,0,drame, Tous publics ,R,988321.0,172,arp selection,,0,2004,etats-unis
28,22 jump street,50000000,112,274341,0,aventure - action, Tous publics ,R,57071445.0,288,sony pictures,,0,2014,etats-unis
29,22 miles,50000000,95,119049,0,aventure - action, Moins de 12 ans ,R,13710825.0,303,metropolitan,,0,2018,etats-unis
30,27 robes,30000000,111,168593,0,romance, Tous publics ,PG,23007725.0,230,20th century fox,,0,2008,etats-unis
31,28 jours en sursis,43000000,104,169947,0,comédie,,PG,10310672.0,158,columbia,,0,2000,etats-unis
32,28 jours plus tard,8000000,112,95134,1,horreur, Moins de 16 ans ,R,10061858.0,195,ufd,,0,2003,Autre
33,"3 billboards, les panneaux de la vengeance",15000000,115,239977,0,drame, Tous publics ,R,4396537.0,162,20th century fox,,0,2018,etats-unis
34,3 coeurs,7135000,106,160854,0,romance, Tous publics ,PG,11794.0,245,wild bunch,,0,2014,france
35,3 jours max,1898935,89,872669,0,comédie, Tous publics ,,,676,studiocanal,,0,2023,france
36,30 ans sinon rien,37000000,98,190937,0,romance, Tous publics ,PG,21054283.0,232,gaumont sony,,0,2004,etats-unis
37,30 jours de nuit,30000000,105,130527,0,horreur, Moins de 12 ans ,R,15951902.0,199,snd,,0,2008,etats-unis
38,300,60000000,117,802975,0,péplum, Moins de 12 ans ,R,70885301.0,485,warner bros.,,1,2007,etats-unis
39,300 : la naissance d'un empire,110000000,102,767436,0,péplum, Moins de 12 ans ,R,45038460.0,454,warner bros.,,1,2014,etats-unis
40,355,75000000,123,120131,0,aventure - action, Tous publics ,PG,4621765.0,432,snd,,1,2022,etats-unis
41,"36, quai des orfèvres",13000000,110,652148,0,thriller, Tous publics ,,,549,gaumont sony,,0,2004,france
42,360,10923517,110,27743,0,drame, Tous publics ,R,12186.0,70,wild bunch,,0,2012,Autre
43,3h10 pour yuma,50000000,117,112959,0,western, Tous publics ,R,14035033.0,214,tfm distribution,,0,2008,etats-unis
44,40 ans : mode d'emploi,35000000,133,125161,0,comédie, Tous publics ,R,11579175.0,180,universal,,0,2013,etats-unis
45,"40 ans, toujours puceau",26000000,116,205065,0,comédie, Tous publics ,R,21422815.0,299,uip,,0,2005,etats-unis
46,40 jours et 40 nuits,17000000,96,377363,0,comédie, Tous publics ,R,12229529.0,401,uip,,0,2002,etats-unis
47,47 ronin,175000000,119,154314,0,aventure - action, Tous publics ,PG,9910310.0,318,universal,,0,2014,etats-unis
48,5 ans de réflexion,30000000,124,18229,0,comédie, Tous publics ,R,10610060.0,45,universal,,0,2012,etats-unis
49,5 enfants et moi,16413562,90,77079,0,film familial, Tous publics ,,,354,metropolitan,,0,2004,Autre
50,500 jours ensemble,7500000,96,82432,0,romance, Tous publics ,PG,3739702.0,141,20th century fox,,0,2009,etats-unis
51,60 secondes chrono,90000000,118,964818,0,aventure - action,,PG,25336048.0,563,gbvi,,0,2000,etats-unis
52,65 - la terre d'avant,45000000,93,187043,0,science fiction, Tous publics ,PG,12328361.0,330,sony pictures,,1,2023,etats-unis
53,666 la malédiction,25000000,108,181888,0,horreur, Moins de 12 ans ,R,16026496.0,280,20th century fox,,0,2006,etats-unis
54,7 psychopathes,15000000,110,92089,0,comédie, Tous publics ,R,4174915.0,161,wild side,,0,2013,etats-unis
55,7 jours et une vie,40000000,103,69860,0,romance, Tous publics ,PG,6219234.0,123,ufd,,0,2002,etats-unis
56,8 femmes,8460000,103,1008915,0,comédie, Tous publics ,R,17496.0,493,mars distribution,,0,2002,france
57,8 mile,41000000,101,922854,0,drame, Tous publics ,R,51240555.0,477,uip,,0,2003,etats-unis
58,88 minutes,30000000,110,135889,0,thriller,,R,6957216.0,194,metropolitan,,0,2007,etats-unis
59,8mm,40000000,123,260642,0,thriller, Moins de 16 ans ,R,14252888.0,245,columbia,,0,1999,etats-unis
60,9 mois ferme,7124618,81,546618,0,comédie, Tous publics ,,,360,wild bunch,,0,2013,france
61,99 francs,12447638,100,517322,0,comédie, Tous publics ,,,407,pathé,,0,2007,france
62,a dangerous method,20000000,99,149627,0,drame, Tous publics ,R,167953.0,184,mars distribution,,1,2011,Autre
63,a history of violence,32000000,95,277394,0,thriller,,R,8103077.0,216,metropolitan,,1,2005,etats-unis
64,a most violent year,19000000,125,173590,0,thriller, Tous publics ,R,1512224.0,142,studiocanal,,0,2014,etats-unis
65,a single man,7000000,99,78831,0,drame, Tous publics ,R,217332.0,65,mars distribution,,0,2010,etats-unis
66,a star is born (2018),36000000,136,351307,0,musical, Tous publics ,R,42908051.0,338,warner bros.,,0,2018,etats-unis
67,a armes égales,50000000,125,271041,0,aventure - action, Tous publics ,R,11094241.0,250,gbvi,,0,1998,etats-unis
68,a bout portant (2010),8979512,85,302664,0,thriller, Tous publics ,R,41031.0,308,gaumont,,0,2010,france
69,a l'aube du sixième jour,82000000,124,312394,0,science fiction, Tous publics ,PG,13020883.0,496,columbia,,0,2000,etats-unis
70,a l'ombre de la haine,4000000,115,56995,0,drame,,R,1800243.0,94,metropolitan,,0,2002,etats-unis
71,a l'épreuve du feu,46000000,117,93112,0,drame, Tous publics ,R,12501586.0,201,ufd,,1,1997,etats-unis
72,a la croisée des mondes: la boussole d'or,190000000,120,769581,0,fantasy, Tous publics ,PG,25783232.0,767,metropolitan,,1,2007,etats-unis
73,a la folie pas du tout,6200000,100,228098,0,drame,,,,354,ufd,,0,2002,france
74,a la recherche du bonheur,55000000,117,338027,0,comédie, Tous publics ,PG,26541709.0,322,gaumont sony,,0,2007,etats-unis
75,a la rencontre de forrester,43000000,136,239902,0,drame, Tous publics ,PG,11112139.0,234,columbia,,0,2001,etats-unis
76,a perdre la raison,6100000,114,55339,0,drame, Tous publics ,,5500.0,91,films du losange,,0,2012,Autre
77,a tout jamais : une histoire de cendrillon,24500000,121,129359,0,romance, Tous publics ,PG,8526904.0,294,ufd,,0,1999,etats-unis
78,a vif !,20000000,100,217940,0,comédie, Tous publics ,R,5002521.0,296,snd,,0,2015,etats-unis
79,a.i. intelligence artificielle,100000000,145,766701,0,science fiction, Tous publics ,PG,29352630.0,687,warner bros.,,1,2001,etats-unis
80,ace ventura,14500000,90,178126,1,comédie, Tous publics ,PG,12115105.0,272,amlf,,0,1995,etats-unis
