film_id,titre,date,budget,genres,pays,nationalite,duree,franchise,remake,popularite_score,score,nombre_vote,semaine_fr,semaine_usa,entrees_fr,entrees_usa,langue,pegi,annee,titre_original
14290,heureux gagnants,,,comédie,france,france,103.0,,,,,,,,136628.0,,français,,2024.0,
14291,14 jours pour aller mieux,,,comédie,france,france,90.0,,,,,,,,126678.0,,français,,2024.0,
14292,la vie de ma mère,,,comédie,france,france,105.0,,,,,,,,58613.0,,français,,2023.0,
14293,il reste encore demain,,,comédie,italie,italie,118.0,,,,,,,,145340.0,,italien,Tous publics,2023.0,cè ancora domani
14294,bolero,,,comédie,états-unis,france,105.0,,,,,,,,177724.0,,anglais,,1984.0,
14295,la salle des profs,,,drame,allemagne,allemagne,98.0,,,,,,,,90612.0,,"allemand, turc, polonais, anglais",PG-13,2023.0,das lehrerzimmer
14296,dune,,,action,états-unis,u.s.a.,155.0,,,,,,,,1030690.0,,"anglais, mandarin",Tous publics,2021.0,
14297,la nouvelle femme,,,biographique,france,france,100.0,,,,,,,,51632.0,,"italien, français",Tous publics,2023.0,
14298,maison de retraite 2,,,comédie,france,france,102.0,,,,,,,,526067.0,,français,Tous publics,2023.0,
14299,kung fu panda 4,,,animation,états-unis,u.s.a.,94.0,,,,,,,,825898.0,,"mandarin, chinois, anglais",Tous publics,2024.0,
14300,scandaleusement vôtre,,,comédie,royaume-uni,grande-bretagne,100.0,,,,,,,,51921.0,,anglais,R,2023.0,wicked little letters
14301,dune : deuxième partie,,,action,états-unis,u.s.a.,166.0,,,,,,,,1384000.0,,anglais,Tous publics avec avertissement,2024.0,dune: part two
14302,dans la peau de blanche houellebecq,,,comédie,france,france,88.0,,,,,,,,12482.0,,français,Tous publics,2024.0,
14303,pauvres créatures,,,comédie,irlande,irlande,141.0,,,,,,,,186568.0,,"anglais, français, portugais",Tous publics avec avertissement,2023.0,poor things
14304,immaculée,,,horreur,italie,u.s.a.,89.0,,,,,,,,129796.0,,"italien, anglais",,2024.0,immaculate
14305,sans jamais nous connaître,,,drame,royaume-uni,grande-bretagne,105.0,,,,,,,,74540.0,,anglais,Tous publics,2023.0,all of us strangers
14306,comme un fils,,,drame,france,france,102.0,,,,,,,,55026.0,,français,Tous publics,2023.0,
14307,bis repetita,,,comédie,france,france,86.0,,,,,,,,54009.0,,"français, latin, anglais, italien",Tous publics,2024.0,
