titre,score,nbre_vote,genres,langue,pays,pegi,duree,annee,popularite_score,director,scenaristes,casting_principal,casting_complet,budget
Heureux gagnants,"6,3",190,['Comédie'],['Français'],['France'],1h 43min,0,2024,['No Popularity Score'],Romain Choay,Romain Choay,"['Romain Choay', 'Maxime Govare', 'Scénario']","['Fabrice Eboué', 'Audrey Lamy', 'Anouk Grinberg', 'Pauline Clément', 'Louise Coldefy', 'Sami Outalbali', 'Victor Meutelet', 'Mathieu Lourdel', 'Illyès Salah', 'Yasin Houicha', 'Ayumi Roux', 'Guy Lecluyse', 'Sam Karmann', 'Inès Angelina Mnafek-Amandio', 'Esteban Hernandez-Sanchez', 'Valentin Louis', 'Inès Melab', 'Sara Ginac']",['No budget']
14 jours pour aller mieux,"5,6",50,['Comédie'],['Français'],['France'],1h 30min,0,2024,['No Popularity Score'],Edouard Pluvieux,Edouard Pluvieux,"['Edouard Pluvieux', 'Scénario', 'Benjamin Demay']","['Maxime Gasteuil', 'Zabou Breitman', 'Romain Lancry', 'Lionel Abelanski', 'Chantal Lauby', 'Michel Boujenah', 'Bernard Farcy', 'Anne Serra', 'Estéban', 'Nader Boussandel', 'David Salles', 'Tatiana Gousseff', 'Clémence Bretécher', 'Rosa Bursztein', 'Redouane Bougheraba', 'Kahina Mounier', 'Matthias Quiviger', 'Ricky Tribord']",['No budget']
La vie de ma mère,"6,9",79,"['Comédie', 'Drame']",['Français'],['France'],1h 45min,0,2023,['No Popularity Score'],Julien Carpentier,Julien Carpentier,"['Julien Carpentier', 'Scénario', 'Julien Carpentier']","['Agnès Jaoui', 'William Lebghil', 'Salif Cissé', 'Rosita Dadoun Fernandez', 'Alison Wheeler', 'Franck Beckmann', 'Serge Feuillard', 'Mamadou Haidara', 'Maxence Tual', 'Lydie Muller', 'Noémie Zeitoun', 'Stéphane Petillot', 'Thaïs Vauquières', 'Mohammed Bendahma', 'Mouad Habrani', 'Nicolas Bourgasser', 'Patrick Robine', 'Natacha Davidovic']",2 100 000 € (estimé)
La Zone d'intérêt,"7,5",73 k,"['Drame', 'Historique', 'Guerre']","['Allemand', 'Polonais', 'Yiddish']","['États-Unis', 'Royaume-Uni', 'Pologne']",Tous publics,1h 45min,2023,28,Jonathan Glazer,Jonathan Glazer,"['Jonathan Glazer', 'Jonathan Glazer', 'Martin Amis']","['Christian Friedel', 'Sandra Hüller', 'Johann Karthaus', 'Luis Noah Witte', 'Nele Ahrensmeier', 'Lilli Falk', 'Anastazja Drobniak', 'Cecylia Pekala', 'Kalman Wilson', 'Medusa Knopf', 'Max Beck', 'Slava the Dog', 'Andrey Isaev', 'Julia Babiarz', 'Stephanie Petrowitz', 'Martyna Poznanski', 'Zuzanna Kobiela', 'Benjamin Utzerath']",['No budget']
Il reste encore demain,"7,7","6,4 k","['Comédie', 'Drame']",['Italien'],['Italie'],Tous publics,1h 58min,2023,552,Paola Cortellesi,Paola Cortellesi,"['Paola Cortellesi', 'Furio Andreotti', 'Giulia Calenda']","['Paola Cortellesi', 'Valerio Mastandrea', 'Romana Maggiora Vergano', 'Emanuela Fanelli', 'Giorgio Colangeli', 'Vinicio Marchioni', 'Francesco Centorame', 'Raffaele Vannoli', 'Paola Tiziana Cruciani', 'Yonv Joseph', 'Alessia Barela', 'Federico Tocci', 'Priscilla Micol Marino', 'Maria Chiara Orti', 'Silvia Salvatori', 'Mattia Baldo', 'Gianmarco Filippini', 'Chiara Bono']",8 300 000 € (estimé)
Madame de Sévigné,"5,5",60,"['Drame', 'Historique']",['Français'],['France'],1h 33min,0,2023,['No Popularity Score'],Isabelle Brocard,Isabelle Brocard,"['Isabelle Brocard', 'Scénario', 'Isabelle Brocard']","['Karin Viard', 'Ana Girardot', 'Cédric Kahn', 'Noémie Lvovsky', 'Robin Renucci', 'Cyrille Mairesse', ""Antoine Prud'homme de la Boussinière"", 'Alain Libolt', 'Laurent Grévill', 'Marine Cremet', 'Sava Lolov', 'Mathieu Perotto', 'Benjamin Wangermee', 'Hyam Zaytoun', 'Philippe Altier', 'Lorine Wolff', 'Niseema Theillaud', 'Elisa Leca']",['No budget']
Anatomie d'une chute,"7,7",111 k,"['Policier', 'Drame', 'Thriller']","['Français', 'Anglais']",['France'],Tous publics,2h 31min,2023,23,Justine Triet,Justine Triet,"['Justine Triet', 'Justine Triet', 'Arthur Harari']","['Sandra Hüller', 'Swann Arlaud', 'Milo Machado-Graner', 'Antoine Reinartz', 'Samuel Theis', 'Jehnny Beth', 'Saadia Bentaïeb', 'Camille Rutherford', 'Anne Rotger', 'Sophie Fillières', 'Messi', 'Julien Comte', 'Pierre-François Garel', 'Savannah Rol', 'Ilies Kadri', 'Vincent Courcelle-Labrousse', 'Cécile Brunet-Ludet', 'Nesrine Slaoui']",6 200 000 € (estimé)
Bolero,"3,0","6,1 k","['Comédie', 'Drame', 'Romantique']",['Anglais'],['États-Unis'],12,1h 45min,1984,['No Popularity Score'],John Derek,John Derek,"['John Derek', 'John Derek', 'Casting principal']","['Bo Derek', 'George Kennedy', 'Andrea Occhipinti', 'Ana Obregón', ""Olivia d'Abo"", 'Greg Bensen', 'Ian Cochrane', 'Mirta Miller', 'Mickey Knox', 'Paul Stacey', 'James Stacey', 'Russell Brook', 'Corinne Russell']",7 000 000 $US (estimé)
La salle des profs,"7,5",15 k,['Drame'],"['Allemand', 'Turc', 'Polonais', 'Anglais']",['Allemagne'],PG-13,1h 38min,2023,778,Ilker Çatak,Ilker Çatak,"['Ilker Çatak', 'Johannes Duncker', 'Ilker Çatak']","['Leonie Benesch', 'Anne-Kathrin Gummich', 'Rafael Stachowiak', 'Michael Klammer', 'Eva Löbau', 'Kathrin Wehlisch', 'Sarah Bauerett', 'Canan Suvatlar', 'Kersten Reimann', 'Henriette Sievers', 'Benjamin Bishop', 'Tim Porath', 'Katinka Auberger', 'Katharina Marie Schubert', 'Uygar Tamer', 'Özgür Karadeniz', 'Leonard Stettnisch', 'Oskar Zickur']",['No budget']
Dune,"8,0",841 k,"['Action', 'Aventure', 'Drame']","['Anglais', 'Mandarin']","['États-Unis', 'Canada']",Tous publics,2h 35min,2021,13,Denis Villeneuve,Denis Villeneuve,"['Denis Villeneuve', 'Scénario', 'Jon Spaihts']","['Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya', 'Oscar Isaac', 'Jason Momoa', 'Stellan Skarsgård', 'Stephen McKinley Henderson', 'Josh Brolin', 'Javier Bardem', 'Sharon Duncan-Brewster', 'Chang Chen', 'Dave Bautista', 'David Dastmalchian', 'Charlotte Rampling', 'Babs Olusanmokun', 'Benjamin Clémentine', 'Souad Faress', 'Golda Rosheuvel']",165 000 000 $US (estimé)
La nouvelle femme,"6,7",146,"['Biographique', 'Drame']","['Italien', 'Français']","['France', 'Italie']",Tous publics,1h 40min,2023,['No Popularity Score'],Léa Todorov,Léa Todorov,"['Léa Todorov', 'Catherine Paillé', 'Léa Todorov']","['Leïla Bekhti', 'Jasmine Trinca', 'Rafaëlle Sonneville-Caby', 'Raffaele Esposito', 'Laura Borelli', 'Nancy Huston', 'Agathe Bonitzer', 'Sébastien Pouderoux', 'Pietro Ragusa', 'Marius Arnaud', 'Alice Astolfi', 'Baptiste Astolfi', 'Ylan Bazile', 'Tess Bentolila', 'Oscar Bloess', 'Aymie Brochard', 'Isidore Canto-Larranaga y Ausin', 'Lena Cetkovic']",['No budget']
Maison de retraite 2,"5,7",58,['Comédie'],['Français'],['France'],Tous publics,1h 42min,2023,['No Popularity Score'],Claude Zidi Jr.,Claude Zidi Jr.,"['Claude Zidi Jr.', 'Kev Adams', 'Élodie Hesme']","['Kev Adams', 'Jean Reno', 'Daniel Prévost', 'Liliane Rovère', 'Firmine Richard', 'Michel Jonasz', 'Enrico Macias', 'Chantal Ladesou', 'Amanda Lear', 'Jarry', 'Brahim Bouhlel', 'Stéphane Debac', 'Louna Espinosa', 'Anne Marivin', 'Marthe Villalonga', 'Marie-Christine Barrault', 'Noé Chabbat', 'Zoé Diowo-Ceccaldi']",['No budget']
Une vie,"7,6",14 k,"['Biographique', 'Drame', 'Historique']","['Anglais', 'Allemand', 'Tchèque', 'Français']",['Royaume-Uni'],PG,1h 49min,2023,87,James Hawes,James Hawes,"['James Hawes', 'Lucinda Coxon', 'Nick Drake']","['Anthony Hopkins', 'Lena Olin', 'Johnny Flynn', 'Helena Bonham Carter', 'Tim Steed', 'Matilda Thorpe', 'Daniel Brown', 'Alex Sharp', 'Jirí Simek', 'Romola Garai', 'Barbora Váchová', 'Juliana Moska', 'Jolana Jirotková', 'Michal Skach', 'Samuel Himal', 'Matej Karas', 'Ella Novakova', 'Martin Bednár']",['No budget']
Kung Fu Panda 4,"6,4",19 k,"['Animation', 'Action', 'Aventure']","['Mandarin', 'Chinois', 'Anglais']","['États-Unis', 'Chine']",Tous publics,1h 34min,2024,22,Mike Mitchell,Mike Mitchell,"['Mike Mitchell', 'Stephanie Stine', 'Scénario']","['Jack Black', 'Awkwafina', 'Viola Davis', 'Dustin Hoffman', 'Bryan Cranston', 'James Hong', 'Ian McShane', 'Ke Huy Quan', 'Ronny Chieng', 'Lori Tan Chinn', 'Seth Rogen', 'Mr. Beast', 'James Murray', 'James Sie', 'Cedric Yarbrough', 'Vic Chao', 'Audrey Brooke', 'Lincoln Nakamura']",85 000 000 $US (estimé)
Scandaleusement vôtre,"7,1","5,6 k","['Comédie', 'Policier', 'Drame']",['Anglais'],"['Royaume-Uni', 'France', 'États-Unis']",R,1h 40min,2023,84,Thea Sharrock,Thea Sharrock,"['Thea Sharrock', 'Jonny Sweet', 'Casting principal']","['Jessie Buckley', 'Olivia Colman', 'Alisha Weir', 'Timothy Spall', 'Hugh Skinner', 'Jason Watkins', 'Joanna Scanlan', 'Gemma Jones', 'Lolly Adefope', 'Eileen Atkins', 'Anjana Vasan', 'Richard Goulding', 'Tim Key', 'Malachi Kirby', 'Paul Chahidi', 'Jamie Chapman', 'Susie Fairfax', 'Grant Crookes']",['No budget']
