titre,budget,duree,entrees_fr,franchise,genres,pegi_fr,pegi_usa,entrees_usa,salles_fr,studio,is_compositeur,annee,origine
civil war,50000000,109,,0,action,Moins de 12 ans,R,25712608,628,metropolitan filmexport,0,2024,etats-unis
monkey man,10000000,121,,0,action,Moins de 12 ans,R,10119435,247,universal pictures international france,0,2024,etats-unis
laroy,2000000,112,,0,comedie,Tous publics,-1,-1,124,arp selection,0,2024,etats-unis
spy x family code: white,-1,110,,1,animation,Tous publics,PG-13,7920330,300,sony pictures releasing france,0,2023,japon
riddle of fire,-1,115,,0,action,Tous publics,PG-13,24250,91,asc distribution,0,2023,etats-unis
hopeless,-1,133,,0,policier,Moins de 12 ans,-1,-1,34,bac films,0,2023,coree du sud
amal: un esprit libre,-1,107,,0,drame,Tous publics,-1,-1,143,ufo distribution,0,2023,belgique
"knit s island, l ile sans fin",-1,95,,0,documentaire,Tous publics,-1,-1,14,norte distribution,0,2023,france
borgo,-1,118,,0,drame,Tous publics,-1,-1,333,le pacte,0,2023,france
marin des montagnes,-1,95,,0,documentaire,Tous publics,-1,-1,17,les films des deux rives,0,2021,bresil
le jour ou j’ai rencontré ma mère,1687000,91,,0,drame,Tous publics,-1,-1,72,les films du préau,0,2023,pays-bas
l homme aux mille visages,-1,90,,0,documentaire,Tous publics,-1,-1,68,pyramide distribution,0,2024,france
ici et là bas,-1,90,,0,comedie,Tous publics,-1,-1,549,studiocanal,0,2024,france
resilient man,-1,90,,0,documentaire,Tous publics,-1,-1,29,jour2fete,0,2022,royaume-uni
orso,-1,86,,0,drame,Moins de 12 ans,-1,-1,1,les mures sauvages,0,2023,france
jouj,-1,90,,0,policier,-1,-1,-1,42,golden afrique ciné,0,2023,maroc
la machine à écrire et autres sources de tracas,-1,72,,0,documentaire,Tous publics,-1,-1,69,les films du losange,0,2024,france
l ile,-1,73,,0,drame,Tous publics,-1,-1,9,la traverse,0,2023,france
zaman dark,-1,93,,0,thriller,Moins de 16 ans,-1,-1,1,visiosfeir,0,2023,liban
