titre,genres,langue,pays,pegi,duree,annee,director_x,scenaristes,casting_principal,casting_complet,actors,director_y,entrees_fr,nationalite,semaine_fr,studio,title,titre_original,continent
heureux gagnants,['Comédie'],['Français'],France,,103,2024,Romain Choay,Romain Choay,"['Romain Choay', 'Maxime Govare', 'Scénario']","['Fabrice Eboué', 'Audrey Lamy', 'Anouk Grinberg', 'Pauline Clément', 'Louise Coldefy', 'Sami Outalbali', 'Victor Meutelet', 'Mathieu Lourdel', 'Illyès Salah', 'Yasin Houicha', 'Ayumi Roux', 'Guy Lecluyse', 'Sam Karmann', 'Inès Angelina Mnafek-Amandio', 'Esteban Hernandez-Sanchez', 'Valentin Louis', 'Inès Melab', 'Sara Ginac']","Audrey Lamy,Fabrice Eboué,Anouk Grinberg","Maxime Govare,Romain Choay,Maxime Govare,Romain Choay",136628,france,13/03/2024,warner bros. france,heureux gagnants,pas de titre original,Europe
14 jours pour aller mieux,['Comédie'],['Français'],France,,90,2024,Edouard Pluvieux,Edouard Pluvieux,"['Edouard Pluvieux', 'Scénario', 'Benjamin Demay']","['Maxime Gasteuil', 'Zabou Breitman', 'Romain Lancry', 'Lionel Abelanski', 'Chantal Lauby', 'Michel Boujenah', 'Bernard Farcy', 'Anne Serra', 'Estéban', 'Nader Boussandel', 'David Salles', 'Tatiana Gousseff', 'Clémence Bretécher', 'Rosa Bursztein', 'Redouane Bougheraba', 'Kahina Mounier', 'Matthias Quiviger', 'Ricky Tribord']","Maxime Gasteuil,Zabou Breitman,Romain Lancry","Edouard Pluvieux,Lionel Dutemple,Edouard Pluvieux",126678,france,06/03/2024,wild bunch distribution,14 jours pour aller mieux,pas de titre original,Europe
la vie de ma mère,"['Comédie', 'Drame']",['Français'],France,,105,2023,Julien Carpentier,Julien Carpentier,"['Julien Carpentier', 'Scénario', 'Julien Carpentier']","['Agnès Jaoui', 'William Lebghil', 'Salif Cissé', 'Rosita Dadoun Fernandez', 'Alison Wheeler', 'Franck Beckmann', 'Serge Feuillard', 'Mamadou Haidara', 'Maxence Tual', 'Lydie Muller', 'Noémie Zeitoun', 'Stéphane Petillot', 'Thaïs Vauquières', 'Mohammed Bendahma', 'Mouad Habrani', 'Nicolas Bourgasser', 'Patrick Robine', 'Natacha Davidovic']","Agnès Jaoui,William Lebghil,Salif Cissé","Julien Carpentier,Julien Carpentier,Benjamin Garnier",58613,france,06/03/2024,kmbo,la vie de ma mère,pas de titre original,Europe
la zone d'intérêt,"['Drame', 'Historique', 'Guerre']","['Allemand', 'Polonais', 'Yiddish']",États-Unis,Tous publics,105,2023,Jonathan Glazer,Jonathan Glazer,"['Jonathan Glazer', 'Jonathan Glazer', 'Martin Amis']","['Christian Friedel', 'Sandra Hüller', 'Johann Karthaus', 'Luis Noah Witte', 'Nele Ahrensmeier', 'Lilli Falk', 'Anastazja Drobniak', 'Cecylia Pekala', 'Kalman Wilson', 'Medusa Knopf', 'Max Beck', 'Slava the Dog', 'Andrey Isaev', 'Julia Babiarz', 'Stephanie Petrowitz', 'Martyna Poznanski', 'Zuzanna Kobiela', 'Benjamin Utzerath']","Christian Friedel,Sandra Hüller,Johann Karthaus","Jonathan Glazer,Jonathan Glazer",239108,u.s.a.,31/01/2024,bac films,la zone d'intérêt,the zone of interest,Amérique du Nord
il reste encore demain,"['Comédie', 'Drame']",['Italien'],Italie,Tous publics,118,2023,Paola Cortellesi,Paola Cortellesi,"['Paola Cortellesi', 'Furio Andreotti', 'Giulia Calenda']","['Paola Cortellesi', 'Valerio Mastandrea', 'Romana Maggiora Vergano', 'Emanuela Fanelli', 'Giorgio Colangeli', 'Vinicio Marchioni', 'Francesco Centorame', 'Raffaele Vannoli', 'Paola Tiziana Cruciani', 'Yonv Joseph', 'Alessia Barela', 'Federico Tocci', 'Priscilla Micol Marino', 'Maria Chiara Orti', 'Silvia Salvatori', 'Mattia Baldo', 'Gianmarco Filippini', 'Chiara Bono']","Paola Cortellesi,Valerio Mastandrea,Romana Maggiora Vergano","Paola Cortellesi,Paola Cortellesi,Furio Andreotti",145340,italie,13/03/2024,universal pictures international france,il reste encore demain,c'è ancora domani,Europe
madame de sévigné,"['Drame', 'Historique']",['Français'],France,,93,2023,Isabelle Brocard,Isabelle Brocard,"['Isabelle Brocard', 'Scénario', 'Isabelle Brocard']","['Karin Viard', 'Ana Girardot', 'Cédric Kahn', 'Noémie Lvovsky', 'Robin Renucci', 'Cyrille Mairesse', ""Antoine Prud'homme de la Boussinière"", 'Alain Libolt', 'Laurent Grévill', 'Marine Cremet', 'Sava Lolov', 'Mathieu Perotto', 'Benjamin Wangermee', 'Hyam Zaytoun', 'Philippe Altier', 'Lorine Wolff', 'Niseema Theillaud', 'Elisa Leca']","Karin Viard,Ana Girardot,Cédric Kahn","Isabelle Brocard,Isabelle Brocard,Yves Thomas",112650,france,28/02/2024,orange studio distribution / ad vitam,madame de sévigné,pas de titre original,Europe
bolero,"['Comédie', 'Drame', 'Romantique']",['Anglais'],États-Unis,,105,1984,John Derek,John Derek,"['John Derek', 'John Derek', 'Casting principal']","['Bo Derek', 'George Kennedy', 'Andrea Occhipinti', 'Ana Obregón', ""Olivia d'Abo"", 'Greg Bensen', 'Ian Cochrane', 'Mirta Miller', 'Mickey Knox', 'Paul Stacey', 'James Stacey', 'Russell Brook', 'Corinne Russell']","Raphaël Personnaz,Doria Tillier,Jeanne Balibar","Anne Fontaine,Anne Fontaine,Claire Barré",177724,france,06/03/2024,snd,bolero,pas de titre original,Amérique du Nord
la salle des profs,['Drame'],"['Allemand', 'Turc', 'Polonais', 'Anglais']",Allemagne,PG-13,98,2023,Ilker Çatak,Ilker Çatak,"['Ilker Çatak', 'Johannes Duncker', 'Ilker Çatak']","['Leonie Benesch', 'Anne-Kathrin Gummich', 'Rafael Stachowiak', 'Michael Klammer', 'Eva Löbau', 'Kathrin Wehlisch', 'Sarah Bauerett', 'Canan Suvatlar', 'Kersten Reimann', 'Henriette Sievers', 'Benjamin Bishop', 'Tim Porath', 'Katinka Auberger', 'Katharina Marie Schubert', 'Uygar Tamer', 'Özgür Karadeniz', 'Leonard Stettnisch', 'Oskar Zickur']","Leonie Benesch,Michael Klammer,Rafael Stachowiak","İlker Çatak,İlker Çatak,Johannes Duncker",90612,allemagne,06/03/2024,tandem,la salle des profs,das lehrerzimmer,Europe
dune,"['Action', 'Aventure', 'Drame']","['Anglais', 'Mandarin']",États-Unis,Tous publics,155,2021,Denis Villeneuve,Denis Villeneuve,"['Denis Villeneuve', 'Scénario', 'Jon Spaihts']","['Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya', 'Oscar Isaac', 'Jason Momoa', 'Stellan Skarsgård', 'Stephen McKinley Henderson', 'Josh Brolin', 'Javier Bardem', 'Sharon Duncan-Brewster', 'Chang Chen', 'Dave Bautista', 'David Dastmalchian', 'Charlotte Rampling', 'Babs Olusanmokun', 'Benjamin Clémentine', 'Souad Faress', 'Golda Rosheuvel']","Timothée Chalamet,Rebecca Ferguson,Oscar Isaac","Denis Villeneuve,Jon Spaihts,Denis Villeneuve",1030687,u.s.a.,15/09/2021,warner bros. france,dune,,Amérique du Nord
la nouvelle femme,"['Biographique', 'Drame']","['Italien', 'Français']",France,Tous publics,100,2023,Léa Todorov,Léa Todorov,"['Léa Todorov', 'Catherine Paillé', 'Léa Todorov']","['Leïla Bekhti', 'Jasmine Trinca', 'Rafaëlle Sonneville-Caby', 'Raffaele Esposito', 'Laura Borelli', 'Nancy Huston', 'Agathe Bonitzer', 'Sébastien Pouderoux', 'Pietro Ragusa', 'Marius Arnaud', 'Alice Astolfi', 'Baptiste Astolfi', 'Ylan Bazile', 'Tess Bentolila', 'Oscar Bloess', 'Aymie Brochard', 'Isidore Canto-Larranaga y Ausin', 'Lena Cetkovic']","Jasmine Trinca,Leïla Bekhti,Rafaëlle Sonneville-Caby","Léa Todorov,Léa Todorov",51632,france,13/03/2024,ad vitam,la nouvelle femme,pas de titre original,Europe
