actors,director,entrees_fr,entrees_usa,image_urls,nationalite,semaine_fr,semaine_usa,studio,timing,title,titre_original
"Maxime Gasteuil,Zabou Breitman,Romain Lancry","Edouard Pluvieux,Lionel Dutemple,Edouard Pluvieux",126678,,https://fr.web.img5.acsta.net/c_310_420/pictures/24/01/23/15/15/3724302.jpg,france,06/03/2024 au 13/03/2024,,wild bunch distribution,0,14 jours pour aller mieux,pas de titre original
"Agnès Jaoui,William Lebghil,Salif Cissé","Julien Carpentier,Julien Carpentier,Benjamin Garnier",58613,,https://fr.web.img4.acsta.net/c_310_420/pictures/24/01/22/15/31/1839923.jpg,france,06/03/2024 au 13/03/2024,,kmbo,0,la vie de ma mère,pas de titre original
"Christian Friedel,Sandra Hüller,Johann Karthaus","Jonathan Glazer,Jonathan Glazer",239108,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/01/12/14/37/2282076.jpg,u.s.a.,31 janvier au 7 février 2024,,bac films,0,la zone d'intérêt,the zone of interest
"Audrey Lamy,Fabrice Eboué,Anouk Grinberg","Maxime Govare,Romain Choay,Maxime Govare,Romain Choay",136628,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/01/17/11/50/4118109.jpg,france,13/03/2024 au 20/03/2024,,warner bros. france,0,heureux gagnants,pas de titre original
"Paola Cortellesi,Valerio Mastandrea,Romana Maggiora Vergano","Paola Cortellesi,Paola Cortellesi,Furio Andreotti",145340,,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/04/15/30/4203338.jpg,italie,13/03/2024 au 20/03/2024,,universal pictures international france,0,il reste encore demain,c'è ancora domani
"Karin Viard,Ana Girardot,Cédric Kahn","Isabelle Brocard,Isabelle Brocard,Yves Thomas",112650,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/12/14/13/49/0960038.jpg,france,28 février au 6 mars 2024,,orange studio distribution / ad vitam,0,madame de sévigné,pas de titre original
"Sandra Hüller,Milo Machado-Graner,Swann Arlaud","Justine Triet,Justine Triet,Arthur Harari",346499,,https://fr.web.img6.acsta.net/c_310_420/o_club-allocine-2024-310x420.png_0_se/pictures/24/03/01/10/28/1051187.jpg,france,23/08/2023 au 30/08/2023,,le pacte,0,anatomie d’une chute,pas de titre original
"Jasmine Trinca,Leïla Bekhti,Rafaëlle Sonneville-Caby","Léa Todorov,Léa Todorov",51632,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/02/05/16/45/3651531.jpg,france,13/03/2024 au 20/03/2024,,ad vitam,0,la nouvelle femme,pas de titre original
"Raphaël Personnaz,Doria Tillier,Jeanne Balibar","Anne Fontaine,Anne Fontaine,Claire Barré",177724,,https://fr.web.img5.acsta.net/c_310_420/pictures/24/01/26/11/07/0253122.jpg,france,06/03/2024 au 13/03/2024,,snd,0,bolero,pas de titre original
"Timothée Chalamet,Rebecca Ferguson,Oscar Isaac","Denis Villeneuve,Jon Spaihts,Denis Villeneuve",1030687,,https://fr.web.img5.acsta.net/c_310_420/pictures/21/08/10/12/20/4633954.jpg,u.s.a.,15/09/2021 au 22/09/2021,,warner bros. france,0,dune,
"Leonie Benesch,Michael Klammer,Rafael Stachowiak","İlker Çatak,İlker Çatak,Johannes Duncker",90612,,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/31/10/38/5852912.jpg,allemagne,06/03/2024 au 13/03/2024,,tandem,0,la salle des profs,das lehrerzimmer
"Timothée Chalamet, Zendaya,Rebecca Ferguson","Denis Villeneuve,Denis Villeneuve,Jon Spaihts",1383999,,https://fr.web.img2.acsta.net/c_310_420/pictures/24/01/26/10/18/5392835.jpg,u.s.a.,28 février au 6 mars 2024,,warner bros. france,0,dune : deuxième partie,dune: part two
"Kev Adams,Jean Reno,Daniel Prévost","Claude Zidi Jr.,Kev Adams,Elodie Hesme",526067,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/11/28/14/21/0273666.jpg,france,14/02/2024 au 21/02/2024,,apollo films,0,maison de retraite 2,pas de titre original
"Anthony Hopkins,Johnny Flynn,Helena Bonham Carter","James Hawes,Lucinda Coxon,Nick Drake",456390,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/01/29/09/23/3346514.jpg,grande-bretagne,21/02/2024 au 28/02/2024,,snd,0,une vie,one life
"Manu Payet,Jack Black, Awkwafina","Mike Mitchell (V),Stephanie Stine,Jonathan Aibel,Glenn Berger",825898,,https://fr.web.img4.acsta.net/c_310_420/pictures/24/02/20/12/28/5505684.jpg,u.s.a.,27 mars au 3 avril 2024,,universal pictures international france,0,kung fu panda 4,pas de titre original
"Olivia Colman,Jessie Buckley,Anjana Vasan","Thea Sharrock,Jonny Sweet",51921,,https://fr.web.img5.acsta.net/c_310_420/pictures/24/01/30/11/42/4484085.jpg,grande-bretagne,13/03/2024 au 20/03/2024,,studiocanal,0,scandaleusement vôtre,wicked little letters
"Blanche Gardin,Michel Houellebecq,Luc Schwarz","Guillaume Nicloux,Guillaume Nicloux",12482,,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/25/10/07/2642043.jpg,france,13/03/2024 au 20/03/2024,,bac films,0,dans la peau de blanche houellebecq,pas de titre original
"Emma Stone,Mark Ruffalo,Willem Dafoe","Yorgos Lanthimos,Tony McNamara",186568,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/11/28/11/03/2973866.jpg,irlande,17/01/2024 au 24/01/2024,,the walt disney company france,0,pauvres créatures,poor things
"Sydney Sweeney,Álvaro Morte,Simona Tabasco","Michael Mohan,Andrew Lobel",129796,,https://fr.web.img5.acsta.net/c_310_420/pictures/24/02/01/12/20/4413094.jpg,u.s.a.,20/03/2024 au 27/03/2024,,metropolitan filmexport,0,immaculée,immaculate
