entrees_fr,entrees_usa,film_titre,semaine_fr,semaine_usa
1 383 999,82 505 391,Dune : Deuxième Partie,28 février au 6 mars 2024,01 au 4 mars 2024
1 030 687,40 100 000,Dune,15 au 22 septembre 2021,22 au 25 octobre 2021
177 724,,Bolero,06 au 13 mars 2024,
346 499,,Anatomie d’une chute,23 au 30 août 2023,
145 340,,Il reste encore demain,13 au 20 mars 2024,
90 612,,La Salle des profs,06 au 13 mars 2024,
136 628,,Heureux gagnants,13 au 20 mars 2024,
456 390,1 708 813,Une vie,21 au 28 février 2024,15 au 18 mars 2024
126 678,,14 jours pour aller mieux,06 au 13 mars 2024,
772 865,28 600 000,Bob Marley: One Love,14 au 21 février 2024,16 au 19 février 2024
584 706,,Cocorico,07 au 14 février 2024,
58 613,,La Vie de ma mère,06 au 13 mars 2024,
239 108,,La Zone d'intérêt,31 janvier au 7 février 2024,
112 650,,Madame de Sévigné,28 février au 6 mars 2024,
51 921,,Scandaleusement vôtre,13 au 20 mars 2024,
55 026,,Comme un fils,06 au 13 mars 2024,
51 632,,La Nouvelle femme,13 au 20 mars 2024,
526 067,,Maison de retraite 2,14 au 21 février 2024,
129 796,,Immaculée,20 au 27 mars 2024,
186 568,1 282 208,Pauvres Créatures,17 au 24 janvier 2024,15 au 18 décembre 2023
54 009,,Bis Repetita,20 au 27 mars 2024,
12 482,,Dans la peau de Blanche Houellebecq,13 au 20 mars 2024,
74 540,,Sans jamais nous connaître,14 au 21 février 2024,
1 138 907,80 500 000,Oppenheimer,19 au 26 juillet 2023,21 au 24 juillet 2023
314 952,,Chien et Chat,14 au 21 février 2024,
78 789,,Tombés du camion,28 février au 6 mars 2024,
38 177,,Les Rois de la Piste,13 au 20 mars 2024,
89 440,10 000 000,Imaginary,06 au 13 mars 2024,08 au 11 mars 2024
116 784,,Karaoké,20 au 27 mars 2024,
36 556,,Black Tea,28 février au 6 mars 2024,
222 380,,Le Dernier Jaguar,07 au 14 février 2024,
79 728,,Le Royaume des abysses,21 au 28 février 2024,
207 894,15 350 000,Madame Web,14 au 21 février 2024,16 au 19 février 2024
209 546,,Daaaaaali !,07 au 14 février 2024,
9 584,,Les Carnets de Siegfried,06 au 13 mars 2024,
48 695,,L'Empire,21 au 28 février 2024,
20 877,,Chien de la casse,19 au 26 avril 2023,
14 474,,Inchallah un fils,06 au 13 mars 2024,
5 733,,The Sweet East,13 au 20 mars 2024,
7 945,,Vampire humaniste cherche suicidaire consentant,20 au 27 mars 2024,
89 353,,Les Choses humaines,01 au 8 décembre 2021,
33 121,,Le Successeur,21 au 28 février 2024,
33 572,,Chroniques de Téhéran,13 au 20 mars 2024,
1 209,,Rien ni personne,28 février au 6 mars 2024,
48 796,,Sleep,21 au 28 février 2024,
663 787,,Maison de Retraite,16 au 23 février 2022,
130 879,,Yannick,02 au 9 août 2023,
10 174,,Blue Giant,06 au 13 mars 2024,
219 098,17 473 540,Argylle,31 janvier au 7 février 2024,02 au 5 février 2024
238 040,10 651 884,The Gentlemen,05 au 12 février 2020,24 au 27 janvier 2020
282 292,,Je verrai toujours vos visages,29 mars au 5 avril 2023,
11 013,,Laissez-moi,20 au 27 mars 2024,
16 136,,La Jeune fille et les paysans,20 au 27 mars 2024,
207 212,10 005 000,Moonfall,09 au 16 février 2022,04 au 7 février 2022
52 962,,Vivants,14 au 21 février 2024,
5 318,,Eureka,28 février au 6 mars 2024,
266 863,12 453 275,Migration,06 au 13 décembre 2023,22 au 25 décembre 2023
4 110,,Mis Hermanos,13 au 20 mars 2024,
3 464,,Holly,06 au 13 mars 2024,
4 156,,Débâcle,28 février au 6 mars 2024,
87 482,,"Léo, la fabuleuse histoire de Léonard de Vinci",31 janvier au 7 février 2024,
292 081,,Boîte noire,08 au 15 septembre 2021,
2 091,,Tiger Stripes,13 au 20 mars 2024,
103 232,,Perfect Days,29 novembre au 6 décembre 2023,
250 148,14 279 529,Mystère à Venise,13 au 20 septembre 2023,15 au 18 septembre 2023
40 476,,La Bête,07 au 14 février 2024,
787 846,39 005 800,Wonka,13 au 20 décembre 2023,15 au 18 décembre 2023
151 200,11 575 000,Demon Slayer: Kimetsu No Yaiba – En route vers l'entraînement des piliers,21 au 28 février 2024,23 au 26 février 2024
38 635,,A Man,31 janvier au 7 février 2024,
188 920,,Le Livre des solutions,13 au 20 septembre 2023,
