film_id,date_sortie
tt11378946,No date found
tt10151854,"March 29, 2023"
tt3381008,"April 13, 2016"
tt0061722,"September 4, 1968"
tt27744786,No date found
tt2096673,"May 18, 2015"
tt0103112,"July 24, 1991"
tt3799232,"May 11, 2018"
tt28943278,"March 29, 2024"
tt0878804,"June 2, 2010"
tt0087363,"December 5, 1984"
tt3447590,"December 25, 2022"
tt14362112,"October 18, 2023"
tt0209958,"October 18, 2000"
tt1454029,"September 2, 2011"
tt0096754,"September 27, 1989"
tt0245574,"November 14, 2001"
tt0361748,"May 20, 2009"
tt9218128,"November 20, 2024"
tt0208092,"November 15, 2000"
tt0086066,"September 7, 1983"
tt3498820,"April 18, 2016"
tt4633690,"December 15, 2017"
tt10242388,"August 1, 2022"
tt8258502,No date found
tt9639470,"October 16, 2021"
tt16156616,"April 5, 2024"
tt0077975,"April 18, 1979"
tt30835128,No date found
tt1502397,"January 22, 2020"
tt1135985,"July 7, 2009"
tt0398808,"March 28, 2007"
tt5093026,"August 15, 2018"
tt21188080,No date found
tt28288786,"February 21, 2024"
tt2183014,"September 15, 2023"
tt2446980,"December 30, 2015"
tt0330373,"November 8, 2005"
tt1285016,"October 3, 2010"
tt26458038,"February 28, 2024"
tt4550098,"January 4, 2017"
tt1351685,"March 27, 2013"
tt17009710,"May 21, 2023"
tt1893256,"July 10, 2013"
tt0085995,"June 20, 1984"
tt0098063,"February 22, 2007"
tt0087263,No date found
tt0106246,"April 21, 1993"
tt22866358,No date found
tt1478338,"June 16, 2011"
tt4614584,"July 29, 2022"
tt3569230,"January 20, 2016"
tt0068646,"September 30, 1972"
tt0097576,"October 18, 1989"
tt0119643,"December 30, 1998"
tt0112950,"July 17, 1996"
tt0489099,"February 20, 2008"
tt0075860,"February 24, 1978"
tt13352968,"November 13, 2022"
tt0092099,September 1986
tt0209144,"September 7, 2000"
tt14060094,"February 23, 2022"
tt0368933,"October 20, 2004"
tt0108358,"February 16, 1994"
tt2953050,"November 24, 2021"
tt1219827,"March 21, 2017"
tt0259446,"February 5, 2003"
tt8079248,"June 13, 2019"
tt0090022,"December 11, 1985"
tt30007864,No date found
tt13887082,No date found
tt1289403,"June 13, 2018"
tt0212985,"February 28, 2001"
tt4003440,"May 14, 2018"
tt1959563,"August 23, 2017"
tt28066777,"February 2, 2024"
tt1398426,"September 16, 2015"
tt0338526,"May 5, 2004"
tt2403021,"September 5, 2015"
tt0070735,"April 17, 1974"
tt0443706,"May 17, 2007"
tt18816518,"May 22, 2022"
tt2283336,"June 12, 2019"
tt1133985,"August 10, 2011"
tt0418279,"July 25, 2007"
tt0268380,"June 26, 2002"
tt0117008,"April 9, 1997"
tt1355631,"September 2, 2016"
tt2660888,"August 17, 2016"
tt1798709,"March 19, 2014"
tt0265666,"March 13, 2002"
tt9731682,"August 11, 2021"
tt4263482,"June 11, 2016"
tt0070047,"September 11, 1974"
tt27431598,"February 15, 2024"
tt5950044,No date found
tt1618434,"June 14, 2019"
tt1182345,"September 12, 2009"
tt0080487,"May 4, 1983"
tt21957774,"March 15, 2024"
tt1071873,No date found
tt0376541,"January 19, 2005"
tt1077258,"August 14, 2007"
tt2910814,"February 4, 2015"
tt1636826,"March 14, 2012"
tt1675192,"May 15, 2011"
tt14537248,No date found
tt14852624,"December 8, 2023"
tt4972582,"January 9, 2017"
tt1527186,"May 18, 2011"
tt7557108,"September 29, 2021"
tt0115963,"July 24, 1996"
tt1454468,"October 22, 2013"
tt0119654,"August 6, 1997"
tt0082096,"February 17, 1982"
tt1245526,"November 17, 2010"
tt0089907,"May 15, 1985"
tt2948372,"October 14, 2020"
tt7991508,No date found
tt0458525,"April 29, 2009"
tt0829482,"October 31, 2007"
tt0073802,"November 21, 1975"
tt12712604,"January 24, 2024"
tt21235248,"April 10, 2024"
tt0106489,"April 20, 1994"
tt22687790,"September 13, 2023"
tt0258000,"April 24, 2002"
tt1270797,"October 10, 2018"
tt0077651,January 1979
tt0104348,September 1992
tt10872600,"December 15, 2021"
tt11389872,"May 8, 2024"
tt19853698,No date found
tt0265208,"December 29, 2004"
tt1961175,"September 20, 2017"
tt0119738,"September 11, 1997"
tt0247638,"October 24, 2001"
tt11866324,"August 5, 2022"
tt0181852,"August 6, 2003"
tt0251127,"June 11, 2003"
tt20255028,No date found
tt0844708,"April 22, 2009"
tt0106469,"August 25, 1993"
tt2229499,"December 25, 2013"
tt0113670,"November 3, 1999"
tt5726616,"October 21, 2017"
tt0070849,"December 15, 1972"
tt2283362,"December 5, 2017"
tt0234215,"May 15, 2003"
tt11908172,No date found
tt1591095,"April 26, 2011"
tt0311289,"October 29, 2003"
tt5525650,"March 28, 2024"
tt0108550,"April 6, 1994"
tt2015381,"August 13, 2014"
tt10954600,"February 15, 2023"
tt7504726,"February 19, 2020"
tt0078748,"September 12, 1979"
tt0120903,"August 16, 2000"
tt1170358,"December 11, 2013"
tt10655524,No date found
tt0432283,"January 23, 2010"
tt0104952,"May 20, 1992"
tt0047396,"April 1, 1955"
tt29114029,No date found
tt3896198,"April 26, 2017"
tt1217209,"July 1, 2012"
tt0121765,"May 16, 2002"
tt1517268,"July 19, 2023"
tt4827558,"October 17, 2018"
tt0368447,"August 18, 2004"
tt5073620,"August 1, 2017"
tt0083929,"March 30, 1983"
tt0408236,"January 16, 2008"
tt0109813,"July 20, 1994"
tt1860357,"October 12, 2016"
tt1321511,"January 1, 2014"
tt27218960,No date found
tt0045152,"September 11, 1953"
tt0120591,"August 5, 1998"
tt2131532,No date found
tt4925292,"February 28, 2018"
tt0137523,"November 10, 1999"
tt0335266,"November 22, 2003"
tt30851137,No date found
tt1877830,"March 2, 2022"
tt0892769,"March 31, 2010"
tt13314558,"August 12, 2022"
tt0120815,"September 5, 1998"
tt0172493,"March 29, 2000"
tt0047034,"March 15, 1957"
tt1535108,"August 14, 2013"
tt1723121,"September 18, 2013"
tt2674426,"June 22, 2016"
tt4477536,"February 6, 2018"
tt2395427,"April 22, 2015"
tt0449010,"December 20, 2006"
tt28355490,"March 14, 2024"
tt3231054,"May 4, 2016"
tt0054215,"November 2, 1960"
tt0062803,"March 21, 1969"
tt0067128,"November 3, 1971"
tt0093605,"November 9, 1988"
tt0089092,"March 5, 1986"
tt23173980,No date found
tt0346491,"January 5, 2005"
tt5478478,"March 14, 2018"
tt5715874,"May 22, 2017"
tt0120735,"October 28, 1998"
tt1638355,"September 11, 2015"
tt0097441,"April 25, 1990"
tt2310332,"December 2, 2014"
tt0119558,"January 14, 1998"
tt0246578,January 2002
tt4209788,"January 3, 2018"
tt0062711,"October 25, 1968"
tt8267604,"May 17, 2018"
tt20202136,No date found
tt0101921,"September 23, 1992"
tt0099653,"November 7, 1990"
tt0425210,"June 28, 2006"
tt0055928,"March 7, 1963"
tt15469092,No date found
tt1130884,"February 24, 2010"
tt0978764,"March 30, 2011"
tt0088286,"September 26, 1984"
tt0074486,September 1977
tt0187738,"June 19, 2002"
tt0040369,"August 4, 1948"
tt2381111,"December 15, 2015"
tt0401792,"May 18, 2005"
tt0415306,"February 9, 2016"
tt2582846,"August 20, 2014"
tt27657135,No date found
tt1386703,"August 15, 2012"
tt0088161,"October 24, 1984"
tt0314353,"July 23, 2003"
tt0052357,"December 12, 1958"
tt0090756,January 1987
tt0146882,"September 6, 2000"
tt5580390,"October 15, 2017"
tt0107616,"May 26, 1993"
tt6499752,"September 8, 2018"
tt11540468,No date found
tt0064115,"February 6, 1970"
tt9603208,"May 23, 2025"
tt1663662,"July 17, 2013"
tt0112442,"July 5, 1995"
tt4154664,"March 6, 2019"
tt2870612,"August 20, 2014"
tt7869070,"September 25, 2020"
tt0076759,September 1977
tt0348150,"July 12, 2006"
tt0097216,"May 19, 1989"
tt0053291,"September 9, 1959"
tt0049833,"January 17, 1958"
tt2848292,"April 28, 2015"
tt2322441,"February 11, 2015"
tt0098206,"January 3, 1990"
tt0404203,"September 5, 2006"
tt1019452,"January 20, 2010"
tt0071230,"December 11, 1974"
tt1282140,"June 15, 2011"
tt6587046,"October 17, 2023"
tt0454921,"January 31, 2007"
tt15789038,"May 27, 2023"
tt0101540,"March 18, 1992"
tt0075148,"March 25, 1977"
tt0119567,"September 12, 1997"
tt0096874,"December 20, 1989"
tt0109830,September 1994
tt3631112,"October 26, 2016"
tt0349205,"April 14, 2004"
tt0052618,May 1960
tt30321146,No date found
tt13521006,"April 26, 2023"
tt0150377,"April 5, 2000"
tt10362466,"December 22, 2020"
tt6108178,"June 13, 2018"
tt1396484,"September 9, 2017"
tt0368891,"December 22, 2004"
tt7939766,"September 4, 2020"
tt14923008,No date found
tt8105234,"June 9, 2023"
tt3110958,"July 27, 2016"
