annee,budget,casting_complet,casting_principal,date_sortie,director,duree,film_id,genre,genres,langue,nbre_vote,pays,pegi,popularite_score,scenaristes,score,titre,titre_france
2023,6 600 000 € (estimé),"Nadia Tereszkiewicz,Benoît Magimel,Benjamin Biolay,Guillaume Gouix,Gustave Kervern,Anna Biolay,Eugène Marcuse,Juliette Armanet,Serge Bozon,Peri Bourgogne,Lucas Englander,Aurélia Petit,Julien Drion,Laurent Dassault,Frédéric Sauzay,Jérémie Bergerac,Aminthe Audiard,Victoria Amador","Stéphanie Di Giusto,Scénario,Romain Compingt",,Stéphanie Di Giusto,0,,,"Drame,Historique",Français,119,"France,Belgique",1h 55min,0,Stéphanie Di Giusto,"6,9",Rosalie,
2023,No budget,"Karin Anglin,Clé Bennett,John Eric Bentley,Diontae Black,Róbert Bolla,Péter Bozsó,Lorne Cardinal,Csaba Debreczeny,Álmos Elõd,András Faragó,Bill Farmer,Áron Gauder,Armand Kautzky,Luca Kis-Kovács,R. Martin Klein,Danny Kramer,Priscilla Landham,David Mattle","Áron Gauder,Géza Bereményi,Áron Gauder",,Áron Gauder,1h 43min,,,"Animation,Action,Aventure","Anglais,Hongrois",416,Hongrie,TV-14,0,Áron Gauder,"7,3",Les 4 âmes du coyote,
2023,1 300 000 € (estimé),"Majd Mastoura,Walid Bouchhioua,Samer Bisharat,Selma Zghidi,Helmi Dridi,Wissem Belgharak,Ayoub Hedhili,Mondher Chouchen,Amel Karray,Ammar Chikha,Rania Agrebi,Mahmoud Said,Walid Bel Haj Ammar,Jasser Oueslati,Yosra Rebai,Mouna Bel Haj Zekri,Ala Hamed,Bilel Ben Ghorbel","Mohamed Ben Attia,Mohamed Ben Attia,Casting principal",,Mohamed Ben Attia,0,,,Drame,Arabe,79,"Tunisie,Belgique,France,Italie,Arabie saoudite,Qatar",1h 38min,0,Mohamed Ben Attia,"6,4",Par-delà les montagnes,
2023,No budget,"Selma Alaoui,Veerle Baetens,Guillaume Duhesme,Anne Dorval,Adèle Wismes,Gringe,Florence Janas,Astrid Whettnall,Victor Cahay,Sabrina Lopez Leonard","Delphine Girard,Delphine Girard,Casting principal",,Delphine Girard,0,,,Drame,Français,100,"Belgique,France,Canada",1h 48min,0,Delphine Girard,"6,9",Quitter la nuit,
2024,100 000 000 $US (estimé),"Paul Rudd,Carrie Coon,Finn Wolfhard,Mckenna Grace,Kumail Nanjiani,Patton Oswalt,Celeste O'Connor,Logan Kim,Emily Alyn Lind,James Acaster,Bill Murray,Dan Aykroyd,Ernie Hudson,Annie Potts,William Atherton,Shelley Williams,Chris Tummings,John Rothman","Gil Kenan,Scénario,Gil Kenan",,Gil Kenan,1h 55min,,,"Aventure,Comédie,Fantastique",Anglais,21 k,"États-Unis,Canada,Royaume-Uni",Tous publics,6,Gil Kenan,"6,5",S.O.S. fantômes: La menace de glace,
2023,No budget,"Ian Boechat,Kaique Brito,Erom Cordeiro,Lucas da Silva,Maya de Vicq,Alaylson Emanuel,Ivana Iza,Maeve Jinkings,Eduarda Samara,Elany Santos","Nara Normande,Tião,Nara Normande",,Nara Normande,0,,,Drame,Portugais,105,"Brésil,France,Italie",1h 31min,0,Nara Normande,"6,7",Sans coeur,
2024,No budget,"Doru Bem,Ciprian Chiriches,Ana Ciontea,Ioan Coman,George Dinu,Gábor Erdei,Bogdan Farcas,Cristina Flutur,Simona Ghita,Nicoleta Lefter,Iulian Postelnicu,Mihaela Sirbu,Palfi Tibor","Andrei Cohn,Andrei Cohn,Casting principal",,Andrei Cohn,0,,,Drame,Roumain,27,"Roumanie,France,Suisse,Turquie",2h 13min,0,Andrei Cohn,"6,6",Semaine sainte,
0,No budget,No Casting,No Casting,,No Director,0,,,,,0,,No Pegi,0,No Writers,0,Titre non trouvé,
2024,No budget,"Simon Astier,Lily Aubry,Sébastien Chassagne,Charlotte Gainsbourg,José Garcia,Hadrien Heaulme,Jiselle Henderkott,Kevin Ke,Baptiste Lecaplain,Adrien Ménielle,Jérôme Niel,Luis Rego,Lyès Salem","Florent Bernard,Florent Bernard,Casting principal",,Florent Bernard,0,,,Comédie,Français,42,France,1h 42min,0,Florent Bernard,"7,8","Nous, les Leroy",
2024,No budget,"Ajay Devgn,Priyamani,Gajraj Rao,Nitanshi Goel,Bhavesh Lohar,Sunny Yadav,Allan Bazil Monteiro,Maxx Taylor,Toplica Milan Dunjic,Amartya Ray,Raphael Jose,Sammy Jonas Heaney,Richard Bhakti Klein,Insane Ashraf,Alfredo Tavares,Paul Spurrier,Ajaey Naga Raaman,Anupam Joardar","Amit Ravindernath Sharma,Scénario,Akash Chawla",,Amit Ravindernath Sharma,0,,,"Biographique,Drame,Historique","Hindi,Malayalam,Tamoul,Telugu",0,Inde,3h 1min,2 717,Amit Ravindernath Sharma,0,Maidaan,
