annee,budget,casting_principal,director,duree,genre,langue,nbre_vote,nombre_vote,pays,pegi,popularite_score,release_date_france,scenaristes,score,title
1993,"$22,000,000 (estimated)","Steven Spielberg,Thomas Keneally,Steven Zaillian",Steven Spielberg,3h 15m,"Biography,Drama,History","English,Hebrew,German,Polish,Latin",,1.4M,United States,R,182,"March 2, 1994",Steven Spielberg,9.0,Schindler's List
1932,No budget,"Jindrich Honzl,George Voskovec,Jan Werich",Jindrich Honzl,0,Comedy,No Language,,102,Czechoslovakia,1h 34m,No Popularity Score,,Jindrich Honzl,7.3,Powder and Petrol
1920,"$18,000 (estimated)","Robert Wiene,Carl Mayer,Hans Janowitz",Robert Wiene,1h 7m,"Horror,Mystery,Thriller",German,,70K,Germany,Not Rated,No Popularity Score,"November 14, 1921",Robert Wiene,8.0,The Cabinet of Dr. Caligari
1988,"$28,000,000 (estimated)","John McTiernan,Roderick Thorp,Jeb Stuart",John McTiernan,2h 12m,"Action,Thriller","English,German,Italian,Japanese",,942K,United States,R,730,"September 21, 1988",John McTiernan,8.2,Die Hard
1931,"$355,000 (estimated)","Tod Browning,Karl Freund,Writers",Tod Browning,1h 15m,"Drama,Fantasy,Horror","English,Hungarian,Latin",,58K,United States,Passed,No Popularity Score,"January 22, 1932",Tod Browning,7.4,Dracula
1983,"$32,500,000 (estimated)","Richard Marquand,Writers,Lawrence Kasdan",Richard Marquand,2h 11m,"Action,Adventure,Fantasy","English,Kikuyu,Tagalog,Kalmyk-Oirat,Quechua,Polish",,1.1M,United States,PG,823,"October 19, 1983",Richard Marquand,8.3,Star Wars: Episode VI - Return of the Jedi
TV Movie,No budget,"Jean-Michel Meurice,Stars,Russell Banks",Jean-Michel Meurice,1h 31m,Documentary,French,,29,France,2006,No Popularity Score,"November 27, 2006",Jean-Michel Meurice,6.5,"Amérique, notre histoire"
1892,No budget,"Émile Reynaud,Émile Reynaud",Émile Reynaud,4m,"Animation,Comedy,Short",,,2K,France,TV-PG,No Popularity Score,"October 28, 1892",Émile Reynaud,6.5,Pauvre Pierrot
2016,No budget,"Anurag Kashyap,Vasan Bala,Anurag Kashyap",Anurag Kashyap,2h 13m,"Crime,Drama,Thriller",Hindi,,16K,India,Not Rated,No Popularity Score,"May 16, 2016",Anurag Kashyap,7.3,Psycho Raman
1923,"$121,000 (estimated)","Fred C. Newmeyer,Sam Taylor,Writers",Fred C. Newmeyer,1h 14m,"Action,Comedy,Thriller",English,,23K,United States,Not Rated,No Popularity Score,"December 26, 1924",Fred C. Newmeyer,8.1,Safety Last!
Video,No budget,"David Gregory,David Gregory,Stars",David Gregory,1h 5m,Documentary,"Italian,English",,278,United States,2005,No Popularity Score,,David Gregory,7.2,The Spaghetti West
2019,"€5,000 (estimated)","Alessandro Bignami,Alessandro Bignami,Stars",Alessandro Bignami,0,Documentary,Italian,,11,Italy,50m,No Popularity Score,,Alessandro Bignami,6.4,Colpiti al cuore
1963,No budget,"Francesco Rosi,Writers,Francesco Rosi",Francesco Rosi,1h 41m,Drama,Italian,,3.3K,"Italy,France",Not Rated,No Popularity Score,"November 7, 1963",Francesco Rosi,7.6,Hands Over the City
1950,"$473,000 (estimated)","Gerald Mayer,John Monks Jr.,Hugh King",Gerald Mayer,1h 15m,"Film-Noir,Thriller","English,Italian",,1.6K,United States,Passed,No Popularity Score,"November 16, 1951",Gerald Mayer,6.8,Dial 1119
1966,"$6,000,000 (estimated)","Alfred Hitchcock,Brian Moore,Willis Hall",Alfred Hitchcock,2h 8m,"Drama,Romance,Thriller","English,German,Swedish,Norwegian,Danish,French",,29K,United States,PG,No Popularity Score,"November 16, 1966",Alfred Hitchcock,6.6,Torn Curtain
1968,"$8,000,000 (estimated)","John Sturges,Writers,Alistair MacLean",John Sturges,2h 28m,"Adventure,Thriller",English,,12K,United States,G,No Popularity Score,"September 4, 1969",John Sturges,6.6,Ice Station Zebra
1922,No budget,"F.W. Murnau,Bram Stoker,Henrik Galeen",F.W. Murnau,1h 34m,"Fantasy,Horror","German,English",,105K,Germany,Not Rated,"2,436","October 27, 1922",F.W. Murnau,7.9,Nosferatu
1948,No budget,"Steve Sekely,Paul Henreid,Daniel Fuchs",Steve Sekely,1h 23m,"Crime,Drama,Film-Noir",English,,3.2K,United States,Passed,No Popularity Score,"May 3, 1950",Steve Sekely,6.7,Hollow Triumph
1960,No budget,"Mario Bava,Writers,Ennio De Concini",Mario Bava,1h 27m,Horror,"Italian,English",,18K,Italy,Approved,No Popularity Score,"March 29, 1961",Mario Bava,7.1,Black Sunday
1961,"$200,000 (estimated)","Roger Corman,Richard Matheson,Edgar Allan Poe",Roger Corman,1h 20m,"Drama,Horror,Mystery",English,,16K,United States,Not Rated,No Popularity Score,,Roger Corman,7.0,The Pit and the Pendulum
1957,No budget,"André Hunebelle,Writers,Jacques Lancien",André Hunebelle,1h 28m,Drama,French,,217,France,Not Rated,No Popularity Score,"March 6, 1957",André Hunebelle,5.2,The Twilight Girls
1944,No budget,"Stars,Bud Abbott,Renée Adorée",Stars,0,Short,English,,52,United States,9m,No Popularity Score,,Stars,5.8,Twenty Years After
TV Special,No budget,"John Moffitt,Marty Farrell,Stars",John Moffitt,0,Reality-TV,English,,52,United States,1979,No Popularity Score,,John Moffitt,7.7,The 31st Annual Primetime Emmy Awards
1942,"$858,000 (estimated)","Directors,James Algar,Samuel Armstrong",Directors,1h 9m,"Animation,Adventure,Drama","English,Russian",,154K,United States,G,No Popularity Score,"April 28, 1948",Directors,7.3,Bambi
1972,"$700,000 (estimated)","Ralph Bakshi,Robert Crumb,Ralph Bakshi",Ralph Bakshi,1h 18m,"Animation,Comedy,Drama","English,Yiddish",,14K,United States,X,"4,935","May 15, 1972",Ralph Bakshi,6.2,Fritz the Cat
1970,"£3,750,000 (estimated)","Ken Hughes,Ken Hughes,Stars",Ken Hughes,2h 19m,"Biography,Drama,History",English,,6.9K,"United Kingdom,United States",G,No Popularity Score,"September 16, 1970",Ken Hughes,7.0,Cromwell
TV Special,No budget,"Bruce Gowers,Dan Eckman,Writers",Bruce Gowers,3h,No kind,English,,177,United States,2005,No Popularity Score,,Bruce Gowers,5.8,The 57th Annual Primetime Emmy Awards
1990,"$25,000,000 (estimated)","Martin Scorsese,Writers,Nicholas Pileggi",Martin Scorsese,2h 25m,"Biography,Crime,Drama","English,Italian",,1.3M,United States,R,186,"September 12, 1990",Martin Scorsese,8.7,Goodfellas
2000,"$103,000,000 (estimated)","Ridley Scott,Writers,David Franzoni",Ridley Scott,2h 35m,"Action,Adventure,Drama",English,,1.6M,"United States,United Kingdom,Malta,Morocco",R,148,"June 20, 2000",Ridley Scott,8.5,Gladiator
Video Game,No budget,No Casting,No Director,0,Action,English,,21,Taiwan,1995,No Popularity Score,,No Writers,7.8,Super Mario World
2020,No budget,"Vince Marcello,Vince Marcello,Jay S Arnold",Vince Marcello,2h 14m,"Comedy,Romance",English,,38K,"United Kingdom,United States",TV-14,No Popularity Score,"July 24, 2020",Vince Marcello,5.7,The Kissing Booth 2
