title,timing
Dune,2h 36min
Heureux gagnants,1h 43min
Anatomie d’une chute,2h 31min
La Salle des profs,1h 39min
Dune : Deuxième Partie,2h 46min
Bolero,2h 00min
Il reste encore demain,1h 58min
Une vie,1h 49min
Bob Marley: One Love,1h 47min
La Nouvelle femme,1h 39min
14 jours pour aller mieux,1h 36min
Scandaleusement vôtre,1h 40min
La Vie de ma mère,1h 43min
Cocorico,1h 31min
Madame de Sévigné,1h 32min
Kung Fu Panda 4,1h 34min
Maison de retraite 2,1h 42min
Immaculée,1h 29min
Pauvres Créatures,2h 21min
Bis Repetita,1h 31min
Comme un fils,1h 42min
Sans jamais nous connaître,1h 45min
Oppenheimer,3h 01min
La Demoiselle et le Dragon,1h 47min
Tombés du camion,1h 29min
Les Rois de la Piste,1h 56min
Karaoké,1h 29min
Black Tea,1h 49min
Le Dernier Jaguar,1h 40min
Madame Web,1h 57min
Daaaaaali !,1h 18min
Le Royaume des abysses,1h 52min
Les Carnets de Siegfried,2h 18min
L'Empire,1h 50min
Pas de vagues,1h 32min
Chien de la casse,1h 33min
Vampire humaniste cherche suicidaire consentant,1h 30min
Les Choses humaines,2h 19min
Inchallah un fils,1h 53min
Road House,1h 54min
Le Successeur,1h 52min
Le Nounou,1h 30min
Rien ni personne,1h 22min
Maison de Retraite,1h 37min
Sleep,1h 35min
Yannick,1h 07min
Blue Giant,2h 00min
Argylle,2h 20min
Je verrai toujours vos visages,1h 58min
The Gentlemen,1h 53min
Laissez-moi,1h 33min
Paternel,1h 33min
Moonfall,2h 00min
La Jeune fille et les paysans,1h 54min
La Promesse verte,2h 04min
The Sweet East,1h 44min
Vivants,1h 23min
Eureka,2h 27min
Migration,1h 22min
Mis Hermanos,1h 25min
Alienoid - Les Protecteurs du futur,2h 23min
Holly,1h 42min
Débâcle,1h 51min
Saints & Sinners,1h 46min
Boîte noire,2h 10min
Los delincuentes,3h 10min
Imaginary,1h 45min
Tiger Stripes,1h 35min
Perfect Days,2h 05min
Mystère à Venise,1h 44min
La Bête,2h 26min
Wonka,1h 57min
Demon Slayer: Kimetsu No Yaiba – En route vers l'entraînement des piliers,1h 44min
Ferrari,2h 10min
A Man,2h 01min
Le Livre des solutions,1h 42min
Cabrini,2h 25min
L'Evénement,1h 40min
Les Passagers de la nuit,1h 51min
Au fil des saisons,1h 33min
Une affaire de détails,2h 08min
