actors,budget,compositor,country,date,director,first_week_entries,franchise,genre,producer,remake,studio,title,url
,12 547 392 €,,France,  27/02/2008,"
                                    Dany Boon",4 378 720,,Comédie,,Remake,"
                Pathé","
                            Bienvenue chez les Ch'tis",https://www.jpbox-office.com/fichfilm.php?id=10042&view=2
,295 000 000 $,,Etats-Unis,  25/04/2018,"
                                    - Russo (brothers)",2 565 953,Franchise,Comicbook,,,"
                Walt Disney Pictures","
                            Avengers: Infinity War",https://www.jpbox-office.com/fichfilm.php?id=15188&view=2
,130 000 000 $,,Etats-Unis,  02/06/2004,"
                                    Alfonso Cuaron",2 503 699,Franchise,Fantasy,,,"
                Warner Bros.","
                            Harry Potter et le prisonnier d'Azkaban",https://www.jpbox-office.com/fichfilm.php?id=1045&view=2
,125 000 000 $,,Etats-Unis,  24/11/2010,"
                                    David Yates",2 537 450,Franchise,Fantasy,,,"
                Warner Bros.","
                            Harry Potter et les reliques de la mort - partie 1",https://www.jpbox-office.com/fichfilm.php?id=9839&view=2
,150 000 000 $,,Etats-Unis,  11/07/2007,"
                                    David Yates",2 486 291,Franchise,Fantasy,,,"
                Warner Bros.","
                            Harry Potter et l'Ordre du Phénix",https://www.jpbox-office.com/fichfilm.php?id=133&view=2
,200 000 000 $,,Etats-Unis,  13/12/2017,"
                                    Rian Johnson",2 510 462,Franchise,Fantasy,,,"
                Walt Disney Pictures","
                            Star Wars: Les derniers Jedi",https://www.jpbox-office.com/fichfilm.php?id=15113&view=2
,27 800 000 €,,France,  28/02/2018,"
                                    Dany Boon",2 429 906,,Comédie,,,"
                Pathé","
                            La Ch’tite famille",https://www.jpbox-office.com/fichfilm.php?id=17666&view=2
,23 000 000 €,,France,  11/02/1998,"
                                    Jean-Marie Poiré",2 655 916,Franchise,Comédie,,,"
                GBVI","
                            Les Visiteurs II - Les Couloirs du temps",https://www.jpbox-office.com/fichfilm.php?id=3039&view=2
,24 434 009 €,,France,  02/02/2011,"
                                    Dany Boon",2 587 056,,Comédie,,,"
                Pathé","
                            Rien à déclarer",https://www.jpbox-office.com/fichfilm.php?id=11191&view=2
,12 560 000 €,,France,  07/02/2001,"
                                    Thomas Gilou",2 830 489,Franchise,Comédie,,,"
                Warner Bros.","
                            La Vérité si je mens! 2",https://www.jpbox-office.com/fichfilm.php?id=2077&view=2
,225 000 000 $,,Etats-Unis,  02/08/2006,"
                                    Gore Verbinski",2 708 112,Franchise,Aventure - Action,,,"
                Walt Disney Pictures","
                            Pirates des Caraïbes, le secret du coffre maudit",https://www.jpbox-office.com/fichfilm.php?id=321&view=2
"
                            Johnny Depp,
                            Orlando Bloom,
                            Yun-Fat Chow,
                            Geoffrey Rush,
                            Keira Knightley",,Hans Zimmer,Etats-Unis,  23/05/2007,"
                                    Gore Verbinski",2 709 377,Franchise,Aventure - Action,Jerry Brukheimer,,"
                Walt Disney Pictures","
                            Pirates des Caraïbes, jusqu'au bout du monde",https://www.jpbox-office.com/fichfilm.php?id=28&view=2
,315 000 000 $,,Etats-Unis,  16/12/2009,"
                                    James Cameron",2 648 596,Franchise,Science Fiction,,,"
                20th Century Fox","
                            Avatar",https://www.jpbox-office.com/fichfilm.php?id=9975&view=2
"
                            Gérard Depardieu,
                            Christian Clavier,
                            Roberto Begnini,
                            Michel Galabru",,,France,  03/02/1999,"
                                    Claude Zidi",2 718 443,Franchise,Comédie,Claude Berri,,"
                Pathé","
                            Astérix et Obélix contre César",https://www.jpbox-office.com/fichfilm.php?id=2704&view=2
"
                            Gérard Depardieu,
                            Christian Clavier,
                            Roberto Begnini,
                            Michel Galabru",41 900 000 €,,France,  03/02/1999,"
                                    Claude Zidi",2 718 443,Franchise,Comédie,Claude Berri,,"
                Pathé","
                            Astérix et Obélix contre César",https://www.jpbox-office.com/fichfilm.php?id=2704&view=2
"
                            Johnny Depp,
                            Orlando Bloom,
                            Yun-Fat Chow,
                            Geoffrey Rush,
                            Keira Knightley",300 000 000 $,Hans Zimmer,Etats-Unis,  23/05/2007,"
                                    Gore Verbinski",2 709 377,Franchise,Aventure - Action,Jerry Brukheimer,,"
                Walt Disney Pictures","
                            Pirates des Caraïbes, jusqu'au bout du monde",https://www.jpbox-office.com/fichfilm.php?id=28&view=2
"
                            Richard Anconina,
                            José Garcia,
                            Gad Elmaleh",12 560 000 €,,France,  07/02/2001,"
                                    Thomas Gilou",2 830 489,Franchise,Comédie,,,"
                Warner Bros.","
                            La Vérité si je mens! 2",https://www.jpbox-office.com/fichfilm.php?id=2077&view=2
"
                            Johnny Depp,
                            Orlando Bloom,
                            Geoffrey Rush,
                            Keira Knightley",225 000 000 $,Hans Zimmer,Etats-Unis,  02/08/2006,"
                                    Gore Verbinski",2 708 112,Franchise,Aventure - Action,Jerry Brukheimer,,"
                Walt Disney Pictures","
                            Pirates des Caraïbes, le secret du coffre maudit",https://www.jpbox-office.com/fichfilm.php?id=321&view=2
"
                            Daniel Radcliffe,
                            Emma Watson,
                            Kenneth Branagh,
                            Alan Rickman",,John Williams,Etats-Unis,  04/12/2002,"
                                    Chris Columbus",2 728 766,Franchise,Fantasy,,,"
                Warner Bros.","
                            Harry Potter et la chambre des secrets",https://www.jpbox-office.com/fichfilm.php?id=1742&view=2
,350 000 000 $,,Etats-Unis,  14/12/2022,"
                                    James Cameron",2 739 848,Franchise,Science Fiction,,,"
                Walt Disney Pictures","
                            Avatar : la voie de l'eau",https://www.jpbox-office.com/fichfilm.php?id=18826&view=2
"
                            Daniel Radcliffe,
                            Emma Watson,
                            Kenneth Branagh,
                            Alan Rickman",100 000 000 $,John Williams,Etats-Unis,  04/12/2002,"
                                    Chris Columbus",2 728 766,Franchise,Fantasy,,,"
                Warner Bros.","
                            Harry Potter et la chambre des secrets",https://www.jpbox-office.com/fichfilm.php?id=1742&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",350 000 000 $,,Etats-Unis,  14/12/2022,"
                                    James Cameron",2 739 848,Franchise,Science Fiction,,,"
                Walt Disney Pictures","
                            Avatar : la voie de l'eau",https://www.jpbox-office.com/fichfilm.php?id=18826&view=2
