acteurs,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
,225000000,,  02/08/2006,0,2708112.0,Franchise,Aventure - Action,etats-unis,,gore verbinski,,,walt disney pictures,"pirates des caraïbes, le secret du coffre maudit",https://www.jpbox-office.com/fichfilm.php?id=321&view=2
,12547392,,  27/02/2008,0,4378720.0,,Comédie,france,,dany boon,Remake,,pathé,bienvenue chez les ch'tis,https://www.jpbox-office.com/fichfilm.php?id=10042&view=2
,315000000,,  16/12/2009,0,2648596.0,Franchise,Science Fiction,etats-unis,,james cameron,,,20th century fox,avatar,https://www.jpbox-office.com/fichfilm.php?id=9975&view=2
,24434009,,  02/02/2011,0,2587056.0,,Comédie,france,,dany boon,,,pathé,rien à déclarer,https://www.jpbox-office.com/fichfilm.php?id=11191&view=2
,23000000,,  11/02/1998,0,2655916.0,Franchise,Comédie,france,,jean-marie poiré,,,gbvi,les visiteurs ii - les couloirs du temps,https://www.jpbox-office.com/fichfilm.php?id=3039&view=2
,300000000,,  23/05/2007,0,2709377.0,Franchise,Aventure - Action,etats-unis,,gore verbinski,,,walt disney pictures,"pirates des caraïbes, jusqu'au bout du monde",https://www.jpbox-office.com/fichfilm.php?id=28&view=2
,295000000,,  25/04/2018,0,2565953.0,Franchise,Comicbook,etats-unis,,- russo (brothers),,,walt disney pictures,avengers: infinity war,https://www.jpbox-office.com/fichfilm.php?id=15188&view=2
,200000000,,  13/12/2017,0,2510462.0,Franchise,Fantasy,etats-unis,,rian johnson,,,walt disney pictures,star wars: les derniers jedi,https://www.jpbox-office.com/fichfilm.php?id=15113&view=2
,130000000,,  02/06/2004,0,2503699.0,Franchise,Fantasy,etats-unis,,alfonso cuaron,,,warner bros.,harry potter et le prisonnier d'azkaban,https://www.jpbox-office.com/fichfilm.php?id=1045&view=2
,150000000,,  11/07/2007,0,2486291.0,Franchise,Fantasy,etats-unis,,david yates,,,warner bros.,harry potter et l'ordre du phénix,https://www.jpbox-office.com/fichfilm.php?id=133&view=2
,125000000,,  24/11/2010,0,2537450.0,Franchise,Fantasy,etats-unis,,david yates,,,warner bros.,harry potter et les reliques de la mort - partie 1,https://www.jpbox-office.com/fichfilm.php?id=9839&view=2
,41900000,,  03/02/1999,0,2718443.0,Franchise,Comédie,france,,claude zidi,,,pathé,astérix et obélix contre césar,https://www.jpbox-office.com/fichfilm.php?id=2704&view=2
