titre;budget;duree;entrees_fr;franchise;genres;pegi_fr;pegi_usa;entrees_usa;salles_fr;studio;is_compositeur;annee;origine;realisateur;acteurs;synopsis
civil war;50000000;109;;0;action;Moins de 12 ans;R;25712608;628;metropolitan filmexport;0;2024;etats-unis;Alex Garland;Kirsten Dunst,Wagner Moura,Cailee Spaeny;Dans un futur proche, une équipe de journalistes parcourt les États-Unis au cours d'une guerre civile qui s'intensifie rapidement et qui a englouti le pays tout entier.
monkey man;10000000;121;;0;action;Moins de 12 ans;R;10119435;247;universal pictures international france;0;2024;etats-unis;Dev Patel;Dev Patel,Paul Angunawela, John Collee;Un jeune homme anonyme lance une campagne de vengeance contre les dirigeants corrompus qui ont assassiné sa mère et qui continuent à victimiser systématiquement les pauvres et les impuissants.
spy x family code: white;-1;110;;1;animation;Tous publics;PG-13;7920330;300;sony pictures releasing france;0;2023;japon;Kazuhiro Furuhashi;Takuya Eguchi,Atsumi Tanezaki,Saori Hayami;Loid est un espion. Yor, une tueuse à gages. Ensemble, ils mènent une double vie en jouant le rôle du père et de la mère d'une famille parfaite. Ce qu'ils ignorent, c'est que leur fille adoptive, Anya, connaît leurs secrets grâce à son don de télépathie. Un beau jour d'hiver, Loid se sert de sa couverture pour partir en week-end avec sa famille et prendre part en parallèle à une mission liée à l'opération Strix. Malheureusement, Anya se retrouve mêlée par erreur à cette dernière et devient l'élément déclencheur d'un conflit qui menace la paix dans le monde !
hopeless;-1;133;;0;policier;Moins de 12 ans;-1;-1;34;bac films;0;2023;coree du sud;Chang-hoon Kim;Xa-bin Hong,Joong-ki Song,Kim Seo-hyung;Pour fuir une vie sans avenir et sans espoir, un jeune homme est entraîné dans une spirale de violence qui le conduira au cœur d’une organisation criminelle menée par un leader charismatique.
amal: un esprit libre;-1;107;;0;drame;Tous publics;-1;-1;143;ufo distribution;0;2023;belgique;Jawad Rhalib;Lubna Azabal,Fabrizio Rongione,Catherine Salée;Amal, enseignante dans un lycée à Bruxelles, encourage ses élèves à s’exprimer librement. Avec ses méthodes pédagogiques audacieuses et son enthousiasme, elle va bouleverser leur vie. Jusqu’à en choquer certains. Peu à peu Amal va se sentir harcelée, menacée.
borgo;-1;118;;0;drame;Tous publics;-1;-1;333;le pacte;0;2023;france;Stephane Demoustier;Hafsia Herzi,Moussa Mansaly,Louis Memmi;Melissa, 32 ans, surveillante pénitentiaire expérimentée, s’installe en Corse avec ses deux jeunes enfants et son mari. L’occasion d’un nouveau départ. Elle intègre les équipes d'un centre pénitentiaire pas tout à fait comme les autres. Ici, on dit que ce sont les prisonniers qui surveillent les gardiens. L’intégration de Melissa est facilitée par Saveriu, un jeune détenu qui semble influent et la place sous sa protection. Mais une fois libéré, Saveriu reprend contact avec Melissa. Il a un service à lui demander… Une mécanique pernicieuse se met en marche.
le jour ou j’ai rencontré ma mère;1687000;91;;0;drame;Tous publics;-1;-1;72;les films du préau;0;2023;pays-bas;Zara Dwinger;Frieda Barnhard,Rosa van Leeuwen,Aisa Winter;Lu, onze ans, rêve de sa mère dans le lit de son foyer d’accueil. Celle-ci, dit-elle, est une célèbre cascadeuse hollywoodienne. Mais lorsqu’elle vient enfin lui rendre visite, Lu se retrouve malgré elle embarquée dans un road trip endiablé direction la Pologne. Elle se rend vite compte qu’avec Karina, sa mère, c’est tout ou rien. La réalité va rapidement les rattraper et les obliger à décider de ce qu’elles sont prêtes à faire pour rester ensemble…
ici et là bas;-1;90;;0;comedie;Tous publics;-1;-1;549;studiocanal;0;2024;france;Ludovic Bernard;Ahmed Sylla,Hakim Jemili,Hugo Becker;Un problème de visa oblige Adrien à revenir à Paris après 15 ans passés au Sénégal avec sa femme Aminata. Son cousin Sékou, éloigné de ses origines sénégalaises, l'héberge.
orso;-1;86;;0;drame;Moins de 12 ans;-1;-1;1;les mures sauvages;0;2023;france;Bruno Mercier;Anthony Mounir,Juliette Dutent;Louison est bipolaire. Elle provoque souvent Orso qui est fou amoureux d’elle. Cette histoire ne peut que mal finir, mais il veut y croire. Le jour où Louison disparait, tout s’effondre. Abattu, Orso appelle Mara, la sœur jumelle de Louison. Leur relation est ambigüe. Quel jeu joue Mara ? Orso devra aller au bout de cette passion à deux visages pour se libérer et retrouver la lumière.
l ile;-1;73;;0;drame;Tous publics;-1;-1;9;la traverse;0;2023;france;Damien Manivel;Olga Milshtein,Rosa Berder;"Rosa et sa bande ont décidé de passer la nuit sur « l’île », un bout de plage devenu leur royaume. C’est la dernière soirée de l’été, celui de leurs dix-huit ans, le temps de tout vivre. Pour écrire et répéter ce film, Damien Manivel a réuni sept adolescents en Bretagne, à l'été 2022. Faute de financements, le tournage prévu le mois suivant a dû être annulé et le projet abandonné. Pourtant, aujourd'hui, ""L'Île"" existe, avec Rosa, sa bande, la dernière soirée de l’été, le temps de tout vivre."
