entrees,entrees_usa,film_title,semaine,semaine_usa
1 383 999,82 505 391,Dune : Deuxième Partie,28 février au 6 mars 2024,01 au 4 mars 2024
456 390,176 881,Une vie,21 au 28 février 2024,13 au 20 mars 2024
1 030 687,275 234,Dune,15 au 22 septembre 2021,06 au 13 octobre 2021
346 499,159 929,Anatomie d’une chute,23 au 30 août 2023,13 au 20 septembre 2023
772 865,172 507,Bob Marley: One Love,14 au 21 février 2024,06 au 13 mars 2024
584 706,270 769,Cocorico,07 au 14 février 2024,28 février au 6 mars 2024
239 108,96 624,La Zone d'intérêt,31 janvier au 7 février 2024,21 au 28 février 2024
526 067,157 376,Maison de retraite 2,14 au 21 février 2024,06 au 13 mars 2024
186 568,70 290,Pauvres Créatures,17 au 24 janvier 2024,07 au 14 février 2024
74 540,14 958,Sans jamais nous connaître,14 au 21 février 2024,06 au 13 mars 2024
314 952,129 479,Chien et Chat,14 au 21 février 2024,06 au 13 mars 2024
1 138 907,467 287,Oppenheimer,19 au 26 juillet 2023,09 au 16 août 2023
89 440,5 600 000,Imaginary,06 au 13 mars 2024,15 au 18 mars 2024
222 380,186 023,Le Dernier Jaguar,07 au 14 février 2024,28 février au 6 mars 2024
207 894,22 278,Madame Web,14 au 21 février 2024,06 au 13 mars 2024
79 728,8 345,Le Royaume des abysses,21 au 28 février 2024,13 au 20 mars 2024
20 877,8 903,Chien de la casse,19 au 26 avril 2023,10 au 17 mai 2023
209 546,42 468,Daaaaaali !,07 au 14 février 2024,28 février au 6 mars 2024
89 353,7 087,Les Choses humaines,01 au 8 décembre 2021,22 au 29 décembre 2021
48 695,5 888,L'Empire,21 au 28 février 2024,13 au 20 mars 2024
33 121,1 723,Le Successeur,21 au 28 février 2024,13 au 20 mars 2024
663 787,239 540,Maison de Retraite,16 au 23 février 2022,09 au 16 mars 2022
130 879,55 195,Yannick,02 au 9 août 2023,23 au 30 août 2023
48 796,5 023,Sleep,21 au 28 février 2024,13 au 20 mars 2024
219 098,34 262,Argylle,31 janvier au 7 février 2024,21 au 28 février 2024
238 040,58 074,The Gentlemen,05 au 12 février 2020,26 février au 4 mars 2020
282 292,166 148,Je verrai toujours vos visages,29 mars au 5 avril 2023,19 au 26 avril 2023
207 212,10 861,Moonfall,09 au 16 février 2022,02 au 9 mars 2022
52 962,5 515,Vivants,14 au 21 février 2024,06 au 13 mars 2024
266 863,281 917,Migration,06 au 13 décembre 2023,03 au 10 janvier 2024
292 081,179 045,Boîte noire,08 au 15 septembre 2021,29 septembre au 6 octobre 2021
103 232,34 274,Perfect Days,29 novembre au 6 décembre 2023,03 au 10 janvier 2024
250 148,81 725,Mystère à Venise,13 au 20 septembre 2023,04 au 11 octobre 2023
87 482,66 901,"Léo, la fabuleuse histoire de Léonard de Vinci",31 janvier au 7 février 2024,21 au 28 février 2024
40 476,5 754,La Bête,07 au 14 février 2024,28 février au 6 mars 2024
787 846,227 945,Wonka,13 au 20 décembre 2023,10 au 17 janvier 2024
38 635,16 788,A Man,31 janvier au 7 février 2024,21 au 28 février 2024
188 920,41 730,Le Livre des solutions,13 au 20 septembre 2023,04 au 11 octobre 2023
